West Regional Housing Affordability Index,,,,,,,,,,,
Annual and Monthly 1989 - Present,,,,,,,,,,,
,,,,,,,,,,,
Existing Home Sales Program © 2019,,,,,,,,,,,
National Association of REALTORS ® Research Team,,,,,,,,,,,
"500 New Jersey Avenue, Washington, DC 20001",,,,,,,,,,,
"Existing Home Sales data are provided by NAR solely for use as a reference. No part of the data may be reproduced, stored in a retrieval system, transmitted or",,,,,,,,,,,
"redistributed in any form or by any means, electronic, mechanical, photocopying, recording or otherwise, without NAR's prior written consent. ",,,,,,,,,,,
,,,,,,,,,,,
, Med-Price ,Monthly, Princp.& ,Median,,,,,,,
, Single-Fam ,Mortgage, Interest ,as %, Family ,Qualifying,,Last,Last,,
, Home ,Rate*, Payment ,Income, Income ,Income**,Composite,Month,Year,,
,,,,,,,,,,,
1993.04," 142,500 ",7.04, 705 ,21.7,"38,807","33,833",114.9,113.9,95.9,,
1993.05," 142,600 ",7.08, 700 ,21.6,"38,836","33,584",115.8,114.9,98.0,,
1993.06," 142,300 ",6.97, 706 ,21.8,"38,866","33,875",114.7,115.8,99.2,,
1993.07," 145,300 ",6.84, 700 ,21.6,"38,939","33,582",115.7,114.7,105.3,,
1993.08," 139,800 ",6.82, 693 ,21.4,"39,055","33,288",116.7,115.7,112.2,,
1993.09," 148,500 ",6.59, 686 ,21.2,"39,172","32,951",117.9,116.7,110.2,,
1993.10," 145,200 ",6.53, 680 ,21.0,"39,289","32,625",119.0,117.9,106.1,,
1993.11," 140,400 ",6.83, 694 ,21.4,"39,406","33,297",116.6,119.0,109.1,,
1993.12," 144,300 ",6.72, 693 ,21.4,"39,524","33,247",116.7,116.6,108.3,,
1994.01," 148,700 ",6.63, 698 ,21.5,"39,642","33,517",116.4,116.7,111.9,,
1994.02," 146,500 ",6.80, 708 ,21.7,"39,761","33,973",115.1,116.4,115.9,,
1994.03," 147,900 ",7.22, 747 ,22.9,"39,880","35,875",109.4,115.1,113.9,,
1994.04," 150,100 ",7.59, 784 ,23.9,"39,999","37,622",104.6,109.4,114.9,,
1994.05," 153,200 ",7.82, 808 ,24.6,"40,118","38,804",101.7,104.6,115.8,,
1994.06," 151,500 ",7.52, 794 ,24.1,"40,238","38,111",103.9,101.7,114.7,,
1994.07," 154,200 ",7.72, 810 ,24.5,"40,366","38,897",102.1,103.9,115.7,,
1994.08," 148,600 ",7.65, 801 ,24.1,"40,503","38,446",103.6,102.1,116.7,,
1994.09," 155,200 ",7.65, 798 ,24.0,"40,640","38,282",104.3,103.6,117.9,,
1994.10," 150,600 ",7.86, 804 ,24.1,"40,778","38,608",103.8,104.3,119.0,,
1994.11," 147,800 ",7.94, 815 ,24.3,"40,916","39,097",102.8,103.8,116.6,,
1994.12," 150,500 ",8.27, 841 ,25.0,"41,055","40,372",99.8,102.8,116.7,,
1995.01," 150,000 ",8.23, 825 ,24.5,"41,194","39,593",102.1,99.8,116.4,,
1995.02," 147,500 ",8.11, 811 ,24.0,"41,333","38,921",104.3,102.1,115.1,,
1995.03," 148,900 ",7.99, 811 ,23.9,"41,473","38,931",104.6,104.3,109.4,,
1995.04," 149,200 ",7.89, 802 ,23.5,"41,614","38,478",106.2,104.6,104.6,,
1995.05," 151,100 ",7.63, 782 ,22.9,"41,755","37,553",109.2,106.2,101.7,,
1995.06," 153,200 ",7.51, 802 ,23.4,"41,896","38,487",106.9,109.2,103.9,,
1995.07," 154,800 ",7.60, 804 ,23.4,"41,992","38,582",107.0,106.9,102.1,,
1995.08," 153,400 ",7.78, 837 ,24.3,"42,042","40,171",103.1,107.0,103.6,,
1995.09," 157,800 ",7.55, 803 ,23.2,"42,092","38,556",107.8,103.1,104.3,,
1995.10," 152,700 ",7.47, 785 ,22.6,"42,142","37,694",110.6,107.8,103.8,,
1995.11," 150,900 ",7.47, 795 ,22.8,"42,192","38,175",109.6,110.6,102.8,,
1995.12," 152,900 ",7.12, 764 ,21.9,"42,242","36,692",114.4,109.6,99.8,,
1996.01," 158,600 ",7.13, 784 ,22.4,"42,292","37,609",111.7,114.4,102.1,,
1996.02," 151,900 ",7.18, 763 ,21.8,"42,342","36,627",114.9,111.7,104.3,,
1996.03," 156,000 ",7.61, 820 ,23.4,"42,393","39,353",107.0,114.9,104.6,,
1996.04," 156,700 ",7.79, 834 ,23.7,"42,443","40,016",105.4,107.0,106.2,,
