U.S. FIRST-TIME HOMEBUYER AFFORDABILITY,,,,,,,,,,,,,,,,,,,,,,,,
"Quarterly, 1989 - current",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Existing Home Sales Program © 2019,,,,,,,,,,,,,,,,,,,,,,,,
National Association of REALTORS ® Research Team,,,,,,,,,,,,,,,,,,,,,,,,
"500 New Jersey Avenue, Washington, DC 20001",,,,,,,,,,,,,,,,,,,,,,,,
"Existing Home Sales data are provided by NAR solely for use as a reference. No part of the data may be reproduced, stored in a retrieval system, transmitted or",,,,,,,,,,,,,,,,,,,,,,,,
"redistributed in any form or by any means, electronic, mechanical, photocopying, recording or otherwise, without NAR's prior written consent. ",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,Starter,,,Effective,Interest,,Prime 1st Time,,First Time,Composite,,,,,,,,,,,,,,
,Home,10%,Loan,Interest,Rate +,Monthly,Median,Qualifying,Affordability,Affordability,Affordability,,,,,,,,,,,,,
,Price,Down,Amount,Rate,PMI,Payment,Income,Income,Index,Index,Gap,,,,,,,,,,,,,
1989.1,"78,000","7,800","70,200",9.77,10.02,617,"21,745","29,616",73.4,110.3,33.5%,,,,,,,,,,,,,
1989.2,"80,000","8,000","72,000",10.38,10.63,666,"22,073","31,968",69.0,103.7,33.5%,,,,,,,,,,,,,
1989.3,"81,600","8,160","73,440",10.21,10.46,670,"22,406","32,160",69.7,104.7,33.4%,,,,,,,,,,,,,
1989.4,"81,000","8,100","72,900",10.08,10.33,658,"22,744","31,584",72.0,108.2,33.5%,,,,,,,,,,,,,
1990.1,"81,800","8,180","73,620",10.04,10.29,662,"22,906","31,776",72.1,108.3,33.4%,,,,,,,,,,,,,
1990.2,"83,700","8,370","75,330",10.15,10.40,683,"22,955","32,784",70.0,105.1,33.4%,,,,,,,,,,,,,
1990.3,"83,500","8,350","75,150",10.04,10.29,676,"23,004","32,448",70.9,106.5,33.4%,,,,,,,,,,,,,
1990.4,"80,300","8,030","72,270",9.92,10.17,643,"23,053","30,864",74.7,112.1,33.4%,,,,,,,,,,,,,
1991.1,"83,500","8,350","75,150",9.68,9.93,656,"23,135","31,488",73.5,110.5,33.5%,,,,,,,,,,,,,
1991.2,"87,800","8,780","79,020",9.46,9.71,677,"23,285","32,496",71.7,107.8,33.5%,,,,,,,,,,,,,
1991.3,"88,700","8,870","79,830",9.31,9.56,675,"23,436","32,400",72.3,108.7,33.5%,,,,,,,,,,,,,
1991.4,"86,900","8,690","78,210",8.74,8.99,629,"23,589","30,192",78.1,117.6,33.6%,,,,,,,,,,,,,
1992.1,"88,300","8,830","79,470",8.36,8.61,617,"23,715","29,616",80.1,120.5,33.5%,,,,,,,,,,,,,
1992.2,"89,700","8,970","80,730",8.46,8.71,633,"23,753","30,384",78.2,117.7,33.6%,,,,,,,,,,,,,
1992.3,"89,500","8,950","80,550",7.88,8.13,598,"23,792","28,704",82.9,124.8,33.6%,,,,,,,,,,,,,
1992.4,"89,700","8,970","80,730",7.74,7.99,592,"23,830","28,416",83.9,126.5,33.7%,,,,,,,,,,,,,
1993.1,"88,000","8,800","79,200",7.55,7.80,570,"23,894","27,360",87.3,131.6,33.7%,,,,,,,,,,,,,
1993.2,"92,400","9,240","83,160",7.26,7.51,582,"23,980","27,936",85.8,129.4,33.7%,,,,,,,,,,,,,
1993.3,"94,000","9,400","84,600",7.04,7.29,579,"24,067","27,792",86.6,130.5,33.6%,,,,,,,,,,,,,
1993.4,"93,700","9,370","84,330",6.79,7.04,563,"24,153","27,024",89.4,134.9,33.7%,,,,,,,,,,,,,
1994.1,"93,000","9,300","83,700",6.91,7.16,566,"24,561","27,168",90.4,136.4,33.7%,,,,,,,,,,,,,
1994.2,"96,600","9,660","86,940",7.42,7.67,618,"24,991","29,664",84.2,126.9,33.6%,,,,,,,,,,,,,
1994.3,"97,700","9,770","87,930",7.73,7.98,644,"25,428","30,912",82.3,124.0,33.6%,,,,,,,,,,,,,
1994.4,"96,000","9,600","86,400",7.82,8.07,638,"25,873","30,624",84.5,127.4,33.7%,,,,,,,,,,,,,
1995.1,"93,800","9,380","84,420",8.12,8.37,641,"26,125","30,768",84.9,127.8,33.6%,,,,,,,,,,,,,
1995.2,"97,500","9,750","87,750",7.98,8.23,658,"26,306","31,584",83.3,125.5,33.6%,,,,,,,,,,,,,
1995.3,"102,100","10,210","91,890",7.74,7.99,674,"26,488","32,352",81.9,123.4,33.6%,,,,,,,,,,,,,
1995.4,"100,500","10,050","90,450",7.54,7.79,650,"26,671","31,200",85.5,128.7,33.6%,,,,,,,,,,,,,
1996.1,"100,400","10,040","90,360",7.34,7.59,637,"26,957","30,576",88.2,132.9,33.6%,,,,,,,,,,,,,
1996.2,"104,300","10,430","93,870",7.84,8.09,695,"27,314","33,360",81.9,123.5,33.7%,,,,,,,,,,,,,
1996.3,"105,500","10,550","94,950",7.96,8.21,711,"27,677","34,128",81.1,122.2,33.6%,,,,,,,,,,,,,
1996.4,"104,200","10,420","93,780",7.71,7.96,686,"28,044","32,928",85.2,128.4,33.6%,,,,,,,,,,,,,
1997.1,"104,400","10,440","93,960",7.72,7.97,687,"28,415","32,976",86.2,129.7,33.5%,,,,,,,,,,,,,
1997.2,"108,800","10,880","97,920",7.89,8.14,728,"28,783","34,944",82.4,124.0,33.5%,,,,,,,,,,,,,
1997.3,"111,600","11,160","100,440",7.64,7.89,729,"29,156","34,992",83.3,125.4,33.6%,,,,,,,,,,,,,
1997.4,"110,600","11,060","99,540",7.47,7.72,711,"29,534","34,128",86.5,130.4,33.7%,,,,,,,,,,,,,
1998.1,"110,500","11,050","99,450",7.22,7.47,693,"29,894","33,264",89.9,135.5,33.7%,,,,,,,,,,,,,
1998.2,"115,400","11,540","103,860",7.21,7.46,723,"30,217","34,704",87.1,131.2,33.6%,,,,,,,,,,,,,
1998.3,"117,100","11,710","105,390",7.08,7.33,725,"30,542","34,800",87.8,132.5,33.7%,,,,,,,,,,,,,
1998.4,"115,900","11,590","104,310",6.88,7.13,703,"30,872","33,744",91.5,138.0,33.7%,,,,,,,,,,,,,
1999.1,"115,500","11,550","103,950",6.95,7.20,706,"31,230","33,888",92.2,139.0,33.7%,,,,,,,,,,,,,
