UNITED STATES HOUSING AFFORDABILITY,,,,,,,,,,,,,,,,,,,,
Annual and Monthly 1989 - Present,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Existing Home Sales Program © 2019,,,,,,,,,,,,,,,,,,,,
National Association of REALTORS ® Research Team,,,,,,,,,,,,,,,,,,,,
"500 New Jersey Avenue, Washington, DC 20001",,,,,,,,,,,,,,,,,,,,
"Existing Home Sales data are provided by NAR solely for use as a reference. No part of the data may be reproduced, stored in a retrieval system, transmitted or",,,,,,,,,,,,,,,,,,,,
"redistributed in any form or by any means, electronic, mechanical, photocopying, recording or otherwise, without NAR's prior written consent. ",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
, Med-Price , Monthly , Princp.& ,Median,,,,,,,,,,,,,,,,
, Single-Fam , Mortgage , Interest ,as %, Family , Qualifying ,    Affordability Index,,,,,,,,,,,,,
, Home , Rate* , Payment ,Income, Income , Income** ,Composite, Fixed ,ARM,,,FIXDIR,,,,,ARMIR,,,
,,,,,,,,,,,,,,,,,,,,
2008.02," 193,600 ", 5.94 , 923 ,17.6 ," 62,958 "," 44,304 ",142.1 , 141.5 ,149.4,,,5.98,927.0,44496,141.5,,5.49,878,42144,149.4
2008.03," 197,600 ", 6.10 , 958 ,18.2 ," 63,217 "," 45,984 ",137.5 , 136.8 ,144.9,,,6.15,963.0,46224,136.8,,5.61,909,43632,144.9
2008.04," 199,600 ", 6.03 , 960 ,18.2 ," 63,157 "," 46,080 ",137.1 , 136.5 ,143.0,,,6.06,964.0,46272,136.5,,5.63,920,44160,143
2008.05," 206,000 ", 6.10 , 999 ,18.9 ," 63,557 "," 47,952 ",132.5 , 132.0 ,139.2,,,6.14,"1,003.0",48144,132,,5.65,951,45648,139.2
2008.06," 213,600 ", 6.28 ," 1,055 ",19.8 ," 63,847 "," 50,640 ",126.1 , 125.2 ,132.7,,,6.34,"1,062.0",50976,125.2,,5.79,1002,48096,132.7
2008.07," 208,900 ", 6.48 ," 1,054 ",19.9 ," 63,593 "," 50,592 ",125.7 , 124.9 ,132.8,,,6.54,"1,061.0",50928,124.9,,5.96,998,47904,132.8
2008.08," 201,900 ", 6.53 ," 1,024 ",19.3 ," 63,747 "," 49,152 ",129.7 , 128.9 ,138.2,,,6.59,"1,030.0",49440,128.9,,5.93,961,46128,138.2
2008.09," 190,300 ", 6.22 , 934 ,17.6 ," 63,776 "," 44,832 ",142.3 , 142.0 ,148.1,,,6.24,936.0,44928,142,,5.84,897,43056,148.1
2008.10," 185,700 ", 6.23 , 913 ,17.2 ," 63,618 "," 43,824 ",145.2 , 145.2 ,146.3,,,6.23,913.0,43824,145.2,,6.16,906,43488,146.3
2008.11," 179,900 ", 6.26 , 887 ,16.8 ," 63,342 "," 42,576 ",148.8 , 148.6 ,154.2,,,6.27,888.0,42624,148.6,,5.93,856,41088,154.2
2008.12," 175,000 ", 5.59 , 803 ,15.3 ," 62,789 "," 38,544 ",162.9 , 162.9 ,N/A*,,,5.59,803.0,38544,162.9,,,,,
2009.01," 164,200 ", 5.21 , 722 ,14.2 ," 61,041 "," 34,656 ",176.1 , 176.4 ,N/A*,,,5.19,721.0,34608,176.4,,,,,
2009.02," 167,900 ", 5.12 , 731 ,14.6 ," 60,116 "," 35,088 ",171.3 , 171.6 ,N/A*,,,5.11,730.0,35040,171.6,,,,,
2009.03," 169,700 ", 5.14 , 740 ,14.8 ," 59,854 "," 35,520 ",168.5 , 168.7 ,N/A*,,,5.12,739.0,35472,168.7,,,,,
2009.04," 166,000 ", 4.96 , 710 ,14.1 ," 60,519 "," 34,080 ",177.6 , 177.8 ,N/A*,,,4.95,709.0,34032,177.8,,,,,
2009.05," 174,600 ", 4.95 , 746 ,14.6 ," 61,258 "," 35,808 ",171.1 , 171.1 ,N/A*,,,4.96,746.0,35808,171.1,,,,,
2009.06," 181,900 ", 5.16 , 795 ,15.6 ," 61,344 "," 38,160 ",160.8 , 160.4 ,N/A*,,,5.18,797.0,38256,160.4,,,,,
2009.07," 181,700 ", 5.34 , 811 ,16.0 ," 60,916 "," 38,928 ",156.5 , 155.9 ,N/A*,,,5.37,814.0,39072,155.9,,,,,
2009.08," 177,100 ", 5.33 , 789 ,15.5 ," 61,185 "," 37,872 ",161.6 , 160.9 ,N/A*,,,5.36,792.0,38016,160.9,,,,,
2009.09," 175,900 ", 5.24 , 776 ,15.2 ," 61,141 "," 37,248 ",164.1 , 163.5 ,N/A*,,,5.27,779.0,37392,163.5,,,,,
2009.10," 172,000 ", 5.10 , 747 ,14.6 ," 61,236 "," 35,856 ",170.8 , 170.1 ,N/A*,,,5.13,750.0,36000,170.1,,,,,
2009.11," 169,300 ", 5.09 , 735 ,14.3 ," 61,854 "," 35,280 ",175.3 , 174.6 ,N/A*,,,5.13,738.0,35424,174.6,,,,,
2009.12," 169,600 ", 5.00 , 728 ,14.0 ," 62,520 "," 34,944 ",178.9 , 177.7 ,N/A*,,,5.06,733.0,35184,177.7,,,,,
2010.01," 163,800 ", 5.08 , 710 ,14.0 ," 60,896 "," 34,080 ",178.7 , 178.4 ,N/A*,,,5.10,711.0,34128,178.4,,,,,
2010.02," 163,900 ", 5.13 , 714 ,14.1 ," 60,866 "," 34,272 ",177.6 , 176.6 ,N/A*,,,5.17,718.0,34464,176.6,,,,,
2010.03," 169,500 ", 5.07 , 734 ,14.5 ," 60,804 "," 35,232 ",172.6 , 171.9 ,N/A*,,,5.11,737.0,35376,171.9,,,,,
2010.04," 172,500 ", 5.10 , 749 ,14.8 ," 60,712 "," 35,952 ",168.9 , 168.2 ,N/A*,,,5.13,752.0,36096,168.2,,,,,
2010.05," 174,500 ", 5.09 , 757 ,15.0 ," 60,635 "," 36,336 ",166.9 , 165.8 ,N/A*,,,5.15,762.0,36576,165.8,,,,,
2010.06," 183,500 ", 5.02 , 790 ,15.6 ," 60,617 "," 37,920 ",159.9 , 159.5 ,N/A*,,,5.04,792.0,38016,159.5,,,,,
2010.07," 183,000 ", 4.90 , 777 ,15.4 ," 60,577 "," 37,296 ",162.4 , 161.8 ,N/A*,,,4.93,780.0,37440,161.8,,,,,
2010.08," 178,100 ", 4.76 , 744 ,14.8 ," 60,509 "," 35,712 ",169.4 , 168.5 ,N/A*,,,4.80,748.0,35904,168.5,,,,,
2010.09," 172,400 ", 4.68 , 714 ,14.2 ," 60,504 "," 34,272 ",176.5 , 176.0 ,N/A*,,,4.71,716.0,34368,176,,,,,
2010.10," 171,500 ", 4.62 , 705 ,14.0 ," 60,431 "," 33,840 ",178.6 , 178.3 ,N/A*,,,4.63,706.0,33888,178.3,,,,,
2010.11," 170,900 ", 4.54 , 696 ,13.8 ," 60,414 "," 33,408 ",180.8 , 179.8 ,N/A*,,,4.59,700.0,33600,179.8,,,,,
2010.12," 169,300 ", 4.69 , 702 ,14.0 ," 60,347 "," 33,696 ",179.1 , 177.8 ,N/A*,,,4.75,707.0,33936,177.8,,,,,
2011.01," 158,500 ", 4.82 , 667 ,13.1 ," 61,242 "," 32,016 ",191.3 , 190.1 ,N/A*,,,4.88,671.0,32208,190.1,,,,,
2011.02," 156,900 ", 4.91 , 667 ,13.1 ," 61,316 "," 32,016 ",191.5 , 190.1 ,N/A*,,,4.97,672.0,32256,190.1,,,,,
2011.03," 160,600 ", 4.98 , 688 ,13.5 ," 61,341 "," 33,024 ",185.7 , 183.3 ,N/A*,,,5.09,697.0,33456,183.3,,,,,
2011.04," 161,300 ", 4.93 , 687 ,13.4 ," 61,405 "," 32,976 ",186.2 , 183.8 ,N/A*,,,5.04,696.0,33408,183.8,,,,,
2011.05," 169,800 ", 4.87 , 718 ,14.0 ," 61,411 "," 34,464 ",178.2 , 175.7 ,N/A*,,,4.98,728.0,34944,175.7,,,,,
2011.06," 176,100 ", 4.75 , 735 ,14.4 ," 61,449 "," 35,280 ",174.2 , 172.1 ,N/A*,,,4.86,744.0,35712,172.1,,,,,
2011.07," 171,700 ", 4.70 , 712 ,13.9 ," 61,519 "," 34,176 ",180.0 , 178.0 ,N/A*,,,4.79,720.0,34560,178,,,,,
2011.08," 171,200 ", 4.69 , 710 ,13.9 ," 61,510 "," 34,080 ",180.5 , 179.5 ,N/A*,,,4.75,714.0,34272,179.5,,,,,
2011.09," 165,400 ", 4.51 , 671 ,13.1 ," 61,526 "," 32,208 ",191.0 , 187.1 ,N/A*,,,4.68,685.0,32880,187.1,,,,,
2011.10," 161,100 ", 4.32 , 639 ,12.4 ," 61,591 "," 30,672 ",200.8 , 196.5 ,N/A*,,,4.50,653.0,31344,196.5,,,,,
2011.11," 164,000 ", 4.33 , 652 ,12.7 ," 61,545 "," 31,296 ",196.7 , 192.2 ,N/A*,,,4.53,667.0,32016,192.2,,,,,
