Midwest Regional Housing Affordability Index,,,,,,,,,,,
Annual and Monthly 1989 - Present,,,,,,,,,,,
,,,,,,,,,,,
Existing Home Sales Program © 2019,,,,,,,,,,,
National Association of REALTORS ® Research Team,,,,,,,,,,,
"500 New Jersey Avenue, Washington, DC 20001",,,,,,,,,,,
"Existing Home Sales data are provided by NAR solely for use as a reference. No part of the data may be reproduced, stored in a retrieval system, transmitted or",,,,,,,,,,,
"redistributed in any form or by any means, electronic, mechanical, photocopying, recording or otherwise, without NAR's prior written consent. ",,,,,,,,,,,
,,,,,,,,,,,
, Med-Price ,Monthly,Princp.&,Median,,,,,,,
, Single-Fam ,Mortgage,Interest,as %, Family ,Qualifying,,Last,Last,,
, Home ,Rate*,Payment,Income, Income ,Income**,Composite,Month,Year,,
,,,,,,,,,,,
1993.11," 88,200 ",6.89,458.0,14.5," 38,614 ",21984.0,172.3,177.5,157.9,,
1993.12," 89,000 ",6.80,454.0,14.4," 38,765 ",21792.0,174.0,172.3,162.2,,
1994.01," 88,200 ",6.72,452.0,14.2," 38,916 ",21696.0,175.8,174.0,168.8,,
1994.02," 86,500 ",6.87,453.0,14.2," 39,068 ",21744.0,176.0,175.8,172,,
1994.03," 86,500 ",7.29,475.0,14.8," 39,221 ",22800.0,168.6,176.0,168.4,,
1994.04," 89,700 ",7.64,501.0,15.6," 39,374 ",24048.0,160.2,168.6,169.2,,
1994.05," 91,400 ",7.84,514.0,16.0," 39,528 ",24672.0,156.7,160.2,167.8,,
1994.06," 94,500 ",7.54,518.0,16.0," 39,683 ",24864.0,156.4,156.7,166.5,,
1994.07," 93,200 ",7.70,523.0,16.1," 39,908 ",25104.0,155.4,156.4,171.7,,
1994.08," 92,900 ",7.67,521.0,16.0," 40,206 ",25008.0,156.6,155.4,171.9,,
1994.09," 90,500 ",7.64,505.0,15.4," 40,506 ",24240.0,162.3,156.6,178.3,,
1994.10," 89,500 ",7.84,513.0,15.6," 40,808 ",24624.0,160.3,162.3,177.5,,
1994.11," 89,600 ",7.94,516.0,15.6," 41,113 ",24768.0,159.9,160.3,172.3,,
1994.12," 92,700 ",8.24,545.0,16.5," 41,420 ",26160.0,152.0,159.9,174,,
1995.01," 89,600 ",8.17,529.0,15.8," 41,729 ",25392.0,157.8,152.0,175.8,,
1995.02," 88,300 ",8.10,521.0,15.5," 42,040 ",25008.0,161.3,157.8,176,,
1995.03," 89,100 ",8.00,524.0,15.4," 42,354 ",25152.0,161.9,161.3,168.6,,
1995.04," 91,200 ",7.91,523.0,15.3," 42,670 ",25104.0,163.2,161.9,160.2,,
1995.05," 95,300 ",7.66,527.0,15.3," 42,988 ",25296.0,163.2,163.2,156.7,,
1995.06," 98,500 ",7.55,540.0,15.6," 43,309 ",25920.0,160.5,163.2,156.4,,
1995.07," 99,400 ",7.64,555.0,15.9," 43,531 ",26640.0,157.5,160.5,155.4,,
1995.08," 100,200 ",7.81,570.0,16.2," 43,653 ",27360.0,154.5,157.5,156.6,,
1995.09," 99,600 ",7.58,552.0,15.6," 43,776 ",26496.0,160.6,154.5,162.3,,
1995.10," 97,400 ",7.47,538.0,15.1," 43,899 ",25824.0,165.9,160.6,160.3,,
1995.11," 98,300 ",7.45,540.0,15.0," 44,022 ",25920.0,166.5,165.9,159.9,,
1995.12," 98,900 ",7.12,522.0,14.4," 44,145 ",25056.0,173.5,166.5,152,,
1996.01," 98,800 ",7.16,529.0,14.6," 44,269 ",25392.0,171.7,173.5,157.8,,
1996.02," 97,000 ",7.21,525.0,14.4," 44,394 ",25200.0,173.5,171.7,161.3,,
1996.03," 98,300 ",7.65,559.0,15.3," 44,518 ",26832.0,163.5,173.5,161.9,,
1996.04," 101,100 ",7.82,575.0,15.7," 44,643 ",27600.0,159.2,163.5,163.2,,
1996.05," 103,000 ",7.79,577.0,15.7," 44,768 ",27696.0,159.2,159.2,163.2000 ,,
1996.06," 107,000 ",7.97,611.0,16.6," 44,894 ",29328.0,150.7,159.2,160.5000 ,,
1996.07," 105,100 ",7.85,598.0,16.2," 45,030 ",28704.0,154.4,150.7,157.5000 ,,
1996.08," 104,900 ",7.77,594.0,16.0," 45,175 ",28512.0,156.0,154.4,154.5000 ,,
1996.09," 103,300 ",7.90,590.0,15.9," 45,322 ",28320.0,157.4,156.0,160.6000 ,,
1996.10," 100,200 ",7.61,561.0,15.1," 45,468 ",26928.0,165.9,157.4,165.9,,
1996.11," 101,800 ",7.46,560.0,15.0," 45,615 ",26880.0,166.8,165.9,166.5,,
1996.12," 105,200 ",7.48,576.0,15.4," 45,763 ",27648.0,162.7,166.8,173.5,,
1997.01," 103,000 ",7.59,576.0,15.3," 45,911 ",27648.0,163.2,162.7,171.7,,
1997.02," 101,900 ",7.49,567.0,15.0," 46,060 ",27216.0,166.3,163.2,173.5,,
1997.03," 103,400 ",7.77,594.0,15.7," 46,209 ",28512.0,159.2,166.3,163.5,,
1997.04," 105,800 ",7.93,608.0,16.0," 46,358 ",29184.0,156.0,159.2,159.2,,
1997.05," 108,600 ",7.80,609.0,16.0," 46,508 ",29232.0,156.4,156.0,159.2,,
1997.06," 112,400 ",7.60,619.0,16.2," 46,659 ",29712.0,154.3,156.4,150.7,,
1997.07," 110,500 ",7.46,606.0,15.8," 46,848 ",29088.0,158.2,154.3,154.4,,
1997.08," 112,600 ",7.43,616.0,16.0," 47,077 ",29568.0,156.0,158.2,156,,
