South Regional Housing Affordability Index,,,,,,,,,,,
Annual and Monthly 1989 - Present,,,,,,,,,,,
,,,,,,,,,,,
Existing Home Sales Program © 2019,,,,,,,,,,,
National Association of REALTORS ® Research Team,,,,,,,,,,,
"500 New Jersey Avenue, Washington, DC 20001",,,,,,,,,,,
"Existing Home Sales data are provided by NAR solely for use as a reference. No part of the data may be reproduced, stored in a retrieval system, transmitted or",,,,,,,,,,,
"redistributed in any form or by any means, electronic, mechanical, photocopying, recording or otherwise, without NAR's prior written consent. ",,,,,,,,,,,
,,,,,,,,,,,
, Med-Price ,Monthly,Princp.&,Median,,,,,,,
, Single-Fam ,Mortgage,Interest,as %, Family , Qualifying ,,Last,Last,,
, Home ,Rate*,Payment,Income, Income , Income** ,Composite,Month,Year,,
,,,,,,,,,,,
1993.11," 96,800 ",6.83,498.0,17.9," 34,110 "," 23,904 ",139.5,144.5,128.2,,
1993.12," 95,900 ",6.73,491.0,17.7," 34,278 "," 23,568 ",141.5,139.5,130.4,,
1994.01," 95,200 ",6.66,488.0,17.5," 34,446 "," 23,424 ",143.0,141.5,137.9,,
1994.02," 96,500 ",6.81,491.0,17.5," 34,615 "," 23,568 ",143.0,143.0,142.2,,
1994.03," 96,300 ",7.23,509.0,18.0," 34,786 "," 24,432 ",138.5,143.0,141.3,,
1994.04," 95,300 ",7.57,532.0,18.8," 34,957 "," 25,536 ",133.2,138.5,141.2,,
1994.05," 97,800 ",7.75,551.0,19.3," 35,129 "," 26,448 ",129.4,133.2,136.4,,
1994.06," 101,200 ",7.42,553.0,19.3," 35,301 "," 26,544 ",129.5,129.4,133.7,,
1994.07," 97,100 ",7.63,549.0,19.1," 35,439 "," 26,352 ",131.1,129.5,135.8,,
1994.08," 98,000 ",7.60,553.0,19.1," 35,541 "," 26,544 ",130.7,131.1,135.8,,
1994.09," 98,000 ",7.57,535.0,18.4," 35,643 "," 25,680 ",135.8,130.7,142.7,,
1994.10," 97,100 ",7.74,541.0,18.5," 35,745 "," 25,968 ",134.9,135.8,144.5,,
1994.11," 96,500 ",7.85,549.0,18.7," 35,848 "," 26,352 ",133.7,134.9,139.5,,
1994.12," 95,300 ",8.11,559.0,19.0," 35,951 "," 26,832 ",131.8,133.7,141.5,,
1995.01," 93,800 ",8.00,549.0,18.6," 36,054 "," 26,352 ",134.6,131.8,143,,
1995.02," 94,800 ",7.97,540.0,18.2," 36,158 "," 25,920 ",137.3,134.6,143,,
1995.03," 95,400 ",7.88,538.0,18.1," 36,262 "," 25,824 ",138.2,137.3,138.5,,
1995.04," 94,200 ",7.79,537.0,18.0," 36,366 "," 25,776 ",138.8,138.2,133.2,,
1995.05," 96,400 ",7.54,532.0,17.8," 36,471 "," 25,536 ",140.5,138.8,129.4,,
1995.06," 102,500 ",7.42,560.0,18.7," 36,576 "," 26,880 ",134.0,140.5,129.5,,
1995.07," 102,300 ",7.51,572.0,19.0," 36,713 "," 27,456 ",131.6,134.0,131.1,,
1995.08," 102,100 ",7.70,582.0,19.3," 36,882 "," 27,936 ",129.6,131.6,130.7,,
1995.09," 101,700 ",7.47,550.0,18.2," 37,052 "," 26,400 ",137.6,129.6,135.8,,
1995.10," 101,000 ",7.39,544.0,17.9," 37,224 "," 26,112 ",139.5,137.6,134.9,,
1995.11," 100,800 ",7.37,548.0,18.0," 37,395 "," 26,304 ",138.9,139.5,133.7,,
1995.12," 99,900 ",7.03,527.0,17.3," 37,568 "," 25,296 ",144.7,138.9,131.8,,
1996.01," 100,700 ",7.07,538.0,17.5," 37,742 "," 25,824 ",142.5,144.7,134.6,,
1996.02," 101,300 ",7.09,530.0,17.2," 37,916 "," 25,440 ",145.3,142.5,137.3,,
1996.03," 103,100 ",7.54,563.0,18.2," 38,091 "," 27,024 ",137.5,145.3,138.2,,
1996.04," 101,900 ",7.71,577.0,18.6," 38,267 "," 27,696 ",134.7,137.5,138.8,,
1996.05," 104,200 ",7.64,581.0,18.6," 38,444 "," 27,888 ",134.4,134.7,140.5,,
1996.06," 108,800 ",7.88,622.0,19.8," 38,621 "," 29,856 ",126.3,134.4,134,,
1996.07," 107,100 ",7.71,610.0,19.4," 38,803 "," 29,280 ",129.2,126.3,131.6,,
1996.08," 106,200 ",7.63,602.0,19.0," 38,989 "," 28,896 ",131.6,129.2,129.6,,
1996.09," 106,700 ",7.74,592.0,18.6," 39,177 "," 28,416 ",134.4,131.6,137.6,,
1996.10," 105,700 ",7.47,574.0,18.0," 39,365 "," 27,552 ",139.3,134.4,139.5000 ,,
1996.11," 105,100 ",7.31,568.0,17.7," 39,554 "," 27,264 ",141.3,139.3,138.9,,
1996.12," 105,500 ",7.35,575.0,17.8," 39,744 "," 27,600 ",140.3,141.3,144.7,,
1997.01," 104,500 ",7.47,583.0,17.5," 39,935 "," 27,984 ",142.7,140.3,142.5,,
1997.02," 105,500 ",7.35,581.0,17.4," 40,127 "," 27,888 ",143.9,142.7,145.3,,
1997.03," 108,100 ",7.63,612.0,18.2," 40,319 "," 29,376 ",137.3,143.9,137.5,,
1997.04," 106,200 ",7.80,612.0,18.1," 40,513 "," 29,376 ",137.9,137.3,134.7,,
1997.05," 111,200 ",7.67,632.0,18.6," 40,707 "," 30,336 ",134.2,137.9,134.4,,
1997.06," 114,300 ",7.48,638.0,18.7," 40,903 "," 30,624 ",133.6,134.2,126.3,,
1997.07," 113,200 ",7.34,623.0,18.2," 41,071 "," 29,904 ",137.3,133.6,129.2,,
1997.08," 113,300 ",7.34,624.0,18.2," 41,211 "," 29,952 ",137.6,137.3,131.6,,
1997.09," 114,800 ",7.30,630.0,18.3," 41,352 "," 30,240 ",136.7,137.6,134.4,,
1997.10," 113,000 ",7.21,614.0,17.8," 41,493 "," 29,472 ",140.8,136.7,139.3,,
1997.11," 111,500 ",7.17,604.0,17.4," 41,634 "," 28,992 ",143.6,140.8,141.3,,
1997.12," 113,400 ",7.12,611.0,17.6," 41,776 "," 29,328 ",142.4,143.6,140.3,,
1998.01," 111,700 ",7.02,596.0,17.1," 41,919 "," 28,608 ",146.5,142.4,142.7,,
1998.02," 114,500 ",7.03,611.0,17.4," 42,062 "," 29,328 ",143.4,146.5,143.9,,
1998.03," 115,600 ",7.06,619.0,17.6," 42,205 "," 29,712 ",142.0,143.4,137.3,,
1998.04," 113,500 ",7.05,607.0,17.2," 42,349 "," 29,136 ",145.3,142.0,137.9,,
1998.05," 118,000 ",7.05,631.0,17.8," 42,493 "," 30,288 ",140.3,145.3,134.2,,
1998.06," 122,400 ",6.95,648.0,18.2," 42,638 "," 31,104 ",137.1,140.3,133.6,,
1998.07," 119,600 ",6.93,632.0,17.7," 42,799 "," 30,336 ",141.1,137.1,137.3,,
1998.08," 120,000 ",6.90,632.0,17.6," 42,976 "," 30,336 ",141.7,141.1,137.6,,
1998.09," 119,400 ",6.67,614.0,17.1," 43,154 "," 29,472 ",146.4,141.7,136.7,,
1998.10," 119,900 ",6.72,620.0,17.2," 43,333 "," 29,760 ",145.6,146.4,140.8,,
1998.11," 118,900 ",6.82,621.0,17.1," 43,512 "," 29,808 ",146.0,145.6,143.6,,
1998.12," 117,000 ",6.74,606.0,16.6," 43,692 "," 29,088 ",150.2,146.0,142.4,,
1999.01," 116,600 ",6.75,605.0,16.5," 43,873 "," 29,040 ",151.1,150.2,146.5,,
1999.02," 116,900 ",6.83,612.0,16.7," 44,055 "," 29,376 ",150.0,151.1,143.4,,
1999.03," 119,200 ",6.99,634.0,17.2," 44,237 "," 30,432 ",145.4,150.0,142,,
1999.04," 118,800 ",6.89,625.0,16.9," 44,420 "," 30,000 ",148.1,145.4,145.3,,
1999.05," 122,100 ",7.08,655.0,17.6," 44,604 "," 31,440 ",141.9,148.1,140.3,,
1999.06," 128,900 ",7.41,715.0,19.2," 44,789 "," 34,320 ",130.5,141.9,137.1,,
1999.07," 124,600 ",7.36,687.0,18.4," 44,922 "," 32,976 ",136.2,130.5,141.1,,
1999.08," 124,200 ",7.65,705.0,18.8," 45,005 "," 33,840 ",133.0,136.2,141.7,,
1999.09," 124,300 ",7.55,699.0,18.6," 45,088 "," 33,552 ",134.4,133.0,146.4,,
1999.10," 123,700 ",7.62,700.0,18.6," 45,170 "," 33,600 ",134.4,134.4,145.6,,
1999.11," 122,800 ",7.52,688.0,18.2," 45,253 "," 33,024 ",137.0,134.4,146,,
1999.12," 121,900 ",7.65,692.0,18.3," 45,337 "," 33,216 ",136.5,137.0,150.2,,
2000.01," 119,000 ",7.91,693.0,18.3," 45,420 "," 33,264 ",136.5,136.5,151.1,,
2000.02," 127,400 ",8.00,748.0,19.7," 45,503 "," 35,904 ",126.7,136.5,150,,
2000.03," 125,900 ",7.88,731.0,19.2," 45,587 "," 35,088 ",129.9,126.7,145.4,,
2000.04," 125,500 ",7.99,736.0,19.3," 45,671 "," 35,328 ",129.3,129.9,148.1,,
2000.05," 128,400 ",8.30,775.0,20.3," 45,755 "," 37,200 ",123.0,129.3,141.9,,
2000.06," 130,300 ",8.09,771.0,20.2," 45,839 "," 37,008 ",123.9,123.0,130.5,,
2000.07," 132,900 ",7.99,779.0,20.4," 45,914 "," 37,392 ",122.8,123.9,136.2,,
2000.08," 131,400 ",7.93,766.0,20.0," 45,981 "," 36,768 ",125.1,122.8,133,,
2000.09," 134,400 ",7.92,783.0,20.4," 46,048 "," 37,584 ",122.5,125.1,134.4,,
2000.10," 131,100 ",7.85,759.0,19.8," 46,115 "," 36,432 ",126.6,122.5,134.4,,
2000.11," 132,000 ",7.78,759.0,19.7," 46,182 "," 36,432 ",126.8,126.6,137,,
2000.12," 132,900 ",7.37,734.0,19.0," 46,249 "," 35,232 ",131.3,126.8,136.5,,
