Northeast Regional Housing Affordability Index,,,,,,,,,,,,,,,,,,,,,,,,
Annual and Monthly 1989 - Present,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Existing Home Sales Program © 2019,,,,,,,,,,,,,,,,,,,,,,,,
National Association of REALTORS ® Research Team,,,,,,,,,,,,,,,,,,,,,,,,
"500 New Jersey Avenue, Washington, DC 20001",,,,,,,,,,,,,,,,,,,,,,,,
"Existing Home Sales data are provided by NAR solely for use as a reference. No part of the data may be reproduced, stored in a retrieval system, transmitted or",,,,,,,,,,,,,,,,,,,,,,,,
"redistributed in any form or by any means, electronic, mechanical, photocopying, recording or otherwise, without NAR's prior written consent. ",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
, Med-Price ,Monthly, Princp.& ,Median,,,,,,,,,,,,,,,,,,,,
, Single-Fam ,Mortgage, Interest ,as %, Family , Qualifying ,,Last,Last,,,,,,,,,,,,,,,
, Home ,Rate*, Payment ,Income, Income , Income** ,Composite,Month,Year,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
2015," 262,500 ",3.94, 995 ,15.3," 77,943 "," 47,760 ",163.2,,,,,,,,,,,,,,,,,
2016," 265,400 ",3.77, 986 ,14.5," 81,473 "," 47,328 ",172.1,,,,,,,,,,,,,,,,,
2017," 275,700 ",4.07," 1,062 ",15.1," 84,152 "," 50,976 ",165.1,,,,,,,,,,,,,,,,,
2018," 289,200 ",4.59," 1,185 ",16.3," 87,197 "," 56,880 ",153.3 ,,,,,,,,,,,,,,,,,
2019," 301,900 ",4.03," 1,157 ",15.4," 90,213 "," 55,536 ",162.4,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
1989.01," 131,300 ",9.70, 834 ,27.3," 39,481 "," 40,032 ",91.7,,,,,,,,,,,,,,,,,
1989.02," 130,800 ",9.94, 858 ,27.9," 39,481 "," 41,184 ",89.7,91.70 ,,,,,,,,,,,,,,,,
1989.03," 144,000 ",10.10, 912 ,29.4," 39,482 "," 43,776 ",85.0,89.70 ,,,,,,,,,,,,,,,,
1989.04," 147,100 ",10.08, 892 ,28.6," 39,482 "," 42,816 ",87.5,85.00 ,,,,,,,,,,,,,,,,
1989.05," 144,400 ",10.50, 926 ,29.5," 39,483 "," 44,448 ",84.9,87.50 ,,,,,,,,,,,,,,,,
1989.06," 152,400 ",10.65, 969 ,30.6," 39,484 "," 46,512 ",81.6,84.90 ,,,,,,,,,,,,,,,,
1989.07," 145,100 ",10.59, 914 ,28.7," 39,484 "," 43,872 ",87.1,81.60 ,,,,,,,,,,,,,,,,
1989.08," 155,000 ",10.25, 946 ,29.5," 39,485 "," 45,408 ",84.7,87.10 ,,,,,,,,,,,,,,,,
1989.09," 148,900 ",10.26, 931 ,28.8," 39,486 "," 44,688 ",86.7,84.70 ,,,,,,,,,,,,,,,,
1989.10," 145,200 ",10.19, 901 ,27.7," 39,486 "," 43,248 ",90.1,86.7,,,,,,,,,,,,,,,,
1989.11," 156,700 ",10.17, 951 ,29.1," 39,487 "," 45,648 ",85.9,90.1,,,,,,,,,,,,,,,,
1989.12," 153,100 ",10.07, 902 ,27.4," 39,488 "," 43,296 ",91.2,85.9,,,,,,,,,,,,,,,,
1990.01," 132,100 ",10.00, 860 ,26.1," 39,488 "," 41,280 ",95.6,91.2,91.7,,,,,,,,,,,,,,,
