,state,agi_class,zipcode,#_of_returns,AGI,returns x AGI
2552,il,5,60657.0,3223.0,278147.0,896467781.0
2553,il,6,60657.0,4997.0,692085.0,3458348745.0
2554,il,7,60657.0,3127.0,1633253.0,5107182131.0
2555,il,1,60658.0,11.0,57.0,627.0
2556,il,2,60658.0,,,
2557,il,3,60658.0,18.0,912.0,16416.0
2558,il,4,60658.0,,,
2559,il,5,60658.0,11.0,1070.0,11770.0
2560,il,6,60658.0,,,
2561,il,7,60658.0,0.0,0.0,0.0
2562,il,1,60659.0,3492.0,4778.0,16684776.0
2563,il,2,60659.0,4230.0,71562.0,302707260.0
2564,il,3,60659.0,4054.0,144974.0,587724596.0
2565,il,4,60659.0,1912.0,116784.0,223291008.0
2566,il,5,60659.0,897.0,77025.0,69091425.0
2567,il,6,60659.0,893.0,115847.0,103451371.0
2568,il,7,60659.0,220.0,169793.0,37354460.0
2569,il,1,60660.0,3835.0,12325.0,47266375.0
2570,il,2,60660.0,5195.0,90750.0,471446250.0
2571,il,3,60660.0,6150.0,221454.0,1361942100.0
2572,il,4,60660.0,2968.0,181066.0,537403888.0
2573,il,5,60660.0,1344.0,115605.0,155373120.0
2574,il,6,60660.0,1344.0,177937.0,239147328.0
2575,il,7,60660.0,330.0,175685.0,57976050.0
2576,il,1,60661.0,348.0,-1330.0,-462840.0
2577,il,2,60661.0,397.0,7060.0,2802820.0
2578,il,3,60661.0,797.0,30276.0,24129972.0
2579,il,4,60661.0,843.0,52213.0,44015559.0
2580,il,5,60661.0,498.0,43147.0,21487206.0
2581,il,6,60661.0,715.0,97709.0,69861935.0
2582,il,7,60661.0,262.0,133131.0,34880322.0
2583,il,1,60664.0,339.0,787.0,266793.0
2584,il,2,60664.0,242.0,3785.0,915970.0
2585,il,3,60664.0,173.0,6308.0,1091284.0
2586,il,4,60664.0,69.0,4254.0,293526.0
2587,il,5,60664.0,35.0,2898.0,101430.0
2588,il,6,60664.0,44.0,7424.0,326656.0
2589,il,7,60664.0,,,
2590,il,1,60666.0,15.0,144.0,2160.0
2591,il,2,60666.0,,,
2592,il,3,60666.0,25.0,955.0,23875.0
2593,il,4,60666.0,35.0,2747.0,96145.0
2594,il,5,60666.0,,,
2595,il,6,60666.0,,,
2596,il,7,60666.0,,,
2597,il,1,60670.0,,,
2598,il,2,60670.0,13.0,217.0,2821.0
2599,il,3,60670.0,16.0,1684.0,26944.0
2600,il,4,60670.0,0.0,0.0,0.0
2601,il,5,60670.0,,,
2602,il,6,60670.0,0.0,0.0,0.0
2603,il,7,60670.0,,,
2604,il,1,60675.0,,,
2605,il,2,60675.0,25.0,479.0,11975.0
2606,il,3,60675.0,,,
2607,il,4,60675.0,18.0,1307.0,23526.0
2608,il,5,60675.0,,,
2609,il,6,60675.0,11.0,1544.0,16984.0
2610,il,7,60675.0,23.0,13965.0,321195.0
2611,il,1,60678.0,11.0,131.0,1441.0
2612,il,2,60678.0,,,
2613,il,3,60678.0,0.0,0.0,0.0
2614,il,4,60678.0,0.0,0.0,0.0
2615,il,5,60678.0,0.0,0.0,0.0
2616,il,6,60678.0,0.0,0.0,0.0
2617,il,7,60678.0,0.0,0.0,0.0
2618,il,1,60680.0,263.0,186.0,48918.0
2619,il,2,60680.0,359.0,6263.0,2248417.0
2620,il,3,60680.0,554.0,20528.0,11372512.0
2621,il,4,60680.0,404.0,24733.0,9992132.0
2622,il,5,60680.0,182.0,15618.0,2842476.0
2623,il,6,60680.0,261.0,36671.0,9571131.0
2624,il,7,60680.0,327.0,274894.0,89890338.0
2625,il,1,60681.0,,,
2626,il,2,60681.0,26.0,348.0,9048.0
2627,il,3,60681.0,38.0,1462.0,55556.0
2628,il,4,60681.0,24.0,1562.0,37488.0
2629,il,5,60681.0,,,
2630,il,6,60681.0,16.0,2497.0,39952.0
2631,il,7,60681.0,,,
2632,il,1,60690.0,186.0,227.0,42222.0
2633,il,2,60690.0,233.0,3986.0,928738.0
2634,il,3,60690.0,328.0,12095.0,3967160.0
2635,il,4,60690.0,187.0,11395.0,2130865.0
2636,il,5,60690.0,79.0,6812.0,538148.0
2637,il,6,60690.0,113.0,16353.0,1847889.0
2638,il,7,60690.0,76.0,52035.0,3954660.0
2639,il,1,60697.0,21.0,194.0,4074.0
2640,il,2,60697.0,,,
2641,il,3,60697.0,13.0,506.0,6578.0
2642,il,4,60697.0,17.0,1148.0,19516.0
2643,il,5,60697.0,,,
2644,il,6,60697.0,12.0,1771.0,21252.0
2645,il,7,60697.0,19.0,14635.0,278065.0
2646,il,1,60699.0,16.0,288.0,4608.0
2647,il,2,60699.0,,,
2648,il,3,60699.0,0.0,0.0,0.0
2649,il,4,60699.0,,,
2650,il,5,60699.0,0.0,0.0,0.0
2651,il,6,60699.0,0.0,0.0,0.0
2652,il,7,60699.0,0.0,0.0,0.0
2653,il,1,60706.0,2365.0,7505.0,17749325.0
2654,il,2,60706.0,2654.0,45215.0,120000610.0
