,STATEFIPS,STATE,zipcode,agi_stub,#_of_returns,AGI,returns x AGI
202,17,IL,60636,5,180,22537,4056660
203,17,IL,60636,6,0,0,0
204,17,IL,60637,1,8840,118972,1051712480
205,17,IL,60637,2,4800,170086,816412800
206,17,IL,60637,3,1940,118089,229092660
207,17,IL,60637,4,910,78722,71637020
208,17,IL,60637,5,1150,157177,180753550
209,17,IL,60637,6,700,432000,302400000
210,17,IL,60638,1,8480,106486,903001280
211,17,IL,60638,2,6920,255364,1767118880
212,17,IL,60638,3,4620,284480,1314297600
213,17,IL,60638,4,3220,278416,896499520
214,17,IL,60638,5,4040,537917,2173184680
215,17,IL,60638,6,480,211466,101503680
216,17,IL,60639,1,16440,230385,3787529400
217,17,IL,60639,2,14040,497025,6978231000
218,17,IL,60639,3,4910,296551,1456065410
219,17,IL,60639,4,1760,150992,265745920
220,17,IL,60639,5,1150,145672,167522800
221,17,IL,60639,6,80,23813,1905040
222,17,IL,60640,1,9470,122053,1155841910
223,17,IL,60640,2,8890,330699,2939914110
224,17,IL,60640,3,6110,376196,2298557560
225,17,IL,60640,4,3760,325289,1223086640
226,17,IL,60640,5,5110,700157,3577802270
227,17,IL,60640,6,1900,885479,1682410100
228,17,IL,60641,1,12330,160310,1976622300
229,17,IL,60641,2,10140,366775,3719098500
230,17,IL,60641,3,4890,298480,1459567200
231,17,IL,60641,4,2470,211926,523457220
232,17,IL,60641,5,3060,414917,1269646020
233,17,IL,60641,6,930,316624,294460320
234,17,IL,60642,1,1880,24622,46289360
235,17,IL,60642,2,2290,86502,198089580
236,17,IL,60642,3,2290,141646,324369340
237,17,IL,60642,4,1560,134250,209430000
238,17,IL,60642,5,2420,337983,817918860
239,17,IL,60642,6,1420,547357,777246940
240,17,IL,60643,1,8200,104303,855284600
241,17,IL,60643,2,5480,199890,1095397200
242,17,IL,60643,3,3400,210141,714479400
243,17,IL,60643,4,2340,201835,472293900
244,17,IL,60643,5,3150,434712,1369342800
245,17,IL,60643,6,1130,405054,457711020
246,17,IL,60644,1,9720,135116,1313327520
247,17,IL,60644,2,5820,202841,1180534620
248,17,IL,60644,3,1600,96488,154380800
249,17,IL,60644,4,600,51203,30721800
250,17,IL,60644,5,340,42972,14610480
251,17,IL,60644,6,30,13407,402210
252,17,IL,60645,1,8160,100828,822756480
253,17,IL,60645,2,5370,192720,1034906400
254,17,IL,60645,3,2790,170074,474506460
255,17,IL,60645,4,1660,143161,237647260
256,17,IL,60645,5,2190,299483,655867770
257,17,IL,60645,6,700,320735,224514500
258,17,IL,60646,1,3610,39554,142789940
259,17,IL,60646,2,2210,81463,180033230
260,17,IL,60646,3,1740,107229,186578460
261,17,IL,60646,4,1390,121166,168420740
262,17,IL,60646,5,3180,455576,1448731680
263,17,IL,60646,6,1690,655000,1106950000
264,17,IL,60647,1,11630,160087,1861811810
265,17,IL,60647,2,11910,437456,5210100960
266,17,IL,60647,3,7450,456890,3403830500
267,17,IL,60647,4,4130,356054,1470503020
268,17,IL,60647,5,5690,791984,4506388960
269,17,IL,60647,6,3540,1409402,4989283080
270,17,IL,60649,1,9010,122717,1105680170
271,17,IL,60649,2,5530,194864,1077597920
272,17,IL,60649,3,2100,128086,268980600
273,17,IL,60649,4,960,82415,79118400
274,17,IL,60649,5,780,101054,78822120
275,17,IL,60649,6,210,80031,16806510
276,17,IL,60651,1,12970,180620,2342641400
277,17,IL,60651,2,8870,313067,2776904290
278,17,IL,60651,3,3080,185064,569997120
279,17,IL,60651,4,1080,92614,100023120
280,17,IL,60651,5,680,86388,58743840
281,17,IL,60651,6,60,18187,1091220
282,17,IL,60652,1,6770,89434,605468180
283,17,IL,60652,2,5790,210230,1217231700
284,17,IL,60652,3,3370,207667,699837790
285,17,IL,60652,4,2260,195148,441034480
286,17,IL,60652,5,1960,252751,495391960
287,17,IL,60652,6,140,38389,5374460
288,17,IL,60653,1,5940,79454,471956760
289,17,IL,60653,2,3380,120860,408506800
290,17,IL,60653,3,1600,97871,156593600
291,17,IL,60653,4,940,81215,76342100
292,17,IL,60653,5,1150,155194,178473100
293,17,IL,60653,6,370,121008,44772960
294,17,IL,60654,1,1140,14193,16180020
295,17,IL,60654,2,1470,56515,83077050
296,17,IL,60654,3,2330,146219,340690270
297,17,IL,60654,4,2070,179499,371562930
298,17,IL,60654,5,3990,559317,2231674830
299,17,IL,60654,6,3000,2010436,6031308000
300,17,IL,60655,1,2950,31600,93220000
301,17,IL,60655,2,2090,77787,162574830
302,17,IL,60655,3,2040,126984,259047360
303,17,IL,60655,4,2090,182672,381784480
304,17,IL,60655,5,4090,569711,2330117990
305,17,IL,60655,6,820,232739,190845980
306,17,IL,60656,1,4380,53236,233173680
307,17,IL,60656,2,3210,118458,380250180
308,17,IL,60656,3,2280,141393,322376040
309,17,IL,60656,4,1650,143333,236499450
310,17,IL,60656,5,2600,354715,922259000
311,17,IL,60656,6,470,152643,71742210
