,statefips,state,zipcode,agi_stub,#_of_returns,AGI,year,returns x AGI
309,17,IL,60656,4,1388,119593,2010,165995084
310,17,IL,60656,5,1634,215183,2010,351609022
311,17,IL,60656,6,178,53425,2010,9509650
312,17,IL,60657,1,9942,127101,2010,1263638142
313,17,IL,60657,2,10393,389042,2010,4043313506
314,17,IL,60657,3,7128,434264,2010,3095433792
315,17,IL,60657,4,3552,306776,2010,1089668352
316,17,IL,60657,5,5538,770882,2010,4269144516
317,17,IL,60657,6,3416,1623352,2010,5545370432
318,17,IL,60659,1,8035,99747,2010,801467145
319,17,IL,60659,2,4090,146583,2010,599524470
320,17,IL,60659,3,1992,122121,2010,243265032
321,17,IL,60659,4,1006,86477,2010,86995862
322,17,IL,60659,5,1016,134735,2010,136890760
323,17,IL,60659,6,206,122267,2010,25187002
324,17,IL,60660,1,8935,114180,2010,1020198300
325,17,IL,60660,2,6036,216894,2010,1309172184
326,17,IL,60660,3,3198,196006,2010,626827188
327,17,IL,60660,4,1649,141813,2010,233849637
328,17,IL,60660,5,1643,220897,2010,362933771
329,17,IL,60660,6,353,158626,2010,55994978
330,17,IL,60661,1,781,9875,2010,7712375
331,17,IL,60661,2,1033,39696,2010,41005968
332,17,IL,60661,3,1131,70055,2010,79232205
333,17,IL,60661,4,755,65291,2010,49294705
334,17,IL,60661,5,1051,144640,2010,152016640
335,17,IL,60661,6,366,273158,2010,99975828
336,17,IL,60706,1,5046,59687,2010,301180602
337,17,IL,60706,2,3081,112177,2010,345617337
338,17,IL,60706,3,1773,108960,2010,193186080
339,17,IL,60706,4,962,83162,2010,80001844
340,17,IL,60706,5,878,114021,2010,100110438
341,17,IL,60706,6,105,38491,2010,4041555
342,17,IL,60707,1,8583,106658,2010,915445614
343,17,IL,60707,2,5586,201528,2010,1125735408
344,17,IL,60707,3,2926,179389,2010,524892214
345,17,IL,60707,4,1711,147354,2010,252122694
346,17,IL,60707,5,1614,212899,2010,343618986
347,17,IL,60707,6,226,74868,2010,16920168
348,17,IL,60712,1,2226,24164,2010,53789064
349,17,IL,60712,2,1057,38601,2010,40801257
350,17,IL,60712,3,783,48625,2010,38073375
351,17,IL,60712,4,596,51531,2010,30712476
352,17,IL,60712,5,956,132690,2010,126851640
353,17,IL,60712,6,529,307431,2010,162630999
354,17,IL,60714,1,6130,72490,2010,444363700
355,17,IL,60714,2,3588,130482,2010,468169416
356,17,IL,60714,3,2223,136290,2010,302972670
357,17,IL,60714,4,1384,119364,2010,165199776
358,17,IL,60714,5,1511,197054,2010,297748594
359,17,IL,60714,6,225,81207,2010,18271575
360,17,IL,60803,1,4250,53888,2010,229024000
361,17,IL,60803,2,3079,112517,2010,346439843
362,17,IL,60803,3,1844,113556,2010,209397264
363,17,IL,60803,4,986,84758,2010,83571388
364,17,IL,60803,5,807,99624,2010,80396568
365,17,IL,60803,6,35,13278,2010,464730
366,17,IL,60804,1,17150,240227,2010,4119893050
367,17,IL,60804,2,10348,360398,2010,3729398504
368,17,IL,60804,3,2999,179971,2010,539733029
369,17,IL,60804,4,915,77451,2010,70867665
370,17,IL,60804,5,374,45414,2010,16984836
371,17,IL,60804,6,32,11436,2010,365952
372,17,IL,60805,1,3433,40307,2010,138373931
373,17,IL,60805,2,2238,82331,2010,184256778
374,17,IL,60805,3,1700,104714,2010,178013800
375,17,IL,60805,4,1085,93434,2010,101375890
376,17,IL,60805,5,1296,168855,2010,218836080
377,17,IL,60805,6,148,56332,2010,8337136
378,17,IL,60827,1,6702,88421,2010,592597542
379,17,IL,60827,2,3133,111257,2010,348568181
380,17,IL,60827,3,1204,72570,2010,87374280
381,17,IL,60827,4,398,33849,2010,13471902
382,17,IL,60827,5,204,26272,2010,5359488
383,17,IL,60827,6,0,0,2010,0
