MEDIAN SALES PRICE OF EXISTING CONDO and CO-OP HOMES ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FOR METROPOLITAN AREAS: ANNUAL, 1989 - current",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(Not Seasonally Adjusted in Thousands of Dollars),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Existing Home Sales Program © 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
National Association of REALTORS ® Research Team,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"500 New Jersey Avenue, Washington, DC 20001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Existing Home Sales data are provided by NAR solely for use as a reference. No part of the data may be reproduced, stored in a retrieval system, transmitted or",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"redistributed in any form or by any means, electronic, mechanical, photocopying, recording or otherwise, without NAR's prior written consent. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CBSAID,MSA ID,MSA Name,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
30,33340,5080,"Milwaukee-Waukesha-West Allis, WI ",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,139.7,149.9,164.6,173.2,170.3,172.1,171.5,153.8,160.6,147.7,139.3,145.4,149.4,150.1,159.4,169,177.6,197.8,209.7
31,34820,34820,"Myrtle Beach-Conway-North Myrtle Beach, SC-NC",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,129.0,118.6,109.6,106.7,110.2,107.0,110.4,113.6,121,127.8,133.3,144.8
32,35004,5380,"Nassau County-Suffolk County, NY                                                                                                                               ",108.9,104.7,97.5,93.6,87.6,89.9,76.4,84.5,85.9,90.0,95.5,98.8,120.2,153.8,185.5,211.3,245.9,247.0,254.2,244.4,231.6,233.2,222.5,220.4,224.8,228.0,240,257.4,281.7,303.8,320.7,339.4
33,35300,5480,"New Haven-Milford, CT ",N/A,112.0,102.5,91.9,88.8,83.1,76.8,74.0,69.9,75.0,77.5,84.4,97.8,112.8,130.9,143.3,168.4,176.7,186.8,178.1,171.5,159.8,159.2,147.8,150.7,129.2,129,132.7,143.2,141.1,141.8,154.9
34,35380,5560,"New Orleans-Metairie, LA",N/A,N/A,N/A,N/A,41.4,43.5,50.2,54.3,61.6,61.3,72.9,73.4,81.5,97.4,103.4,122.0,146.4,141.5,134.3,148.4,144.3,147.8,141.0,157.1,157.6,162.5,181.5,160,166.8,177.4,184.1,181.2
35,35614,875,"New York-Jersey City-White Plains, NY-NJ",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,297.2,291.9,283.0,257.5,273.6,237.4,226.5,230.5,239.7,245.7,257.2,270.7,288.6,298.9,306
36,35084,5640,"Newark, NJ-PA                                                                                                                                   ",N/A,N/A,N/A,N/A,N/A,N/A,N/A,135.1,137.1,132.3,141.5,152.6,173.1,201.0,241.1,272.3,308.4,321.7,298.6,292.5,268.5,275.4,264.1,253.5,251.8,261.3,261.7,259.3,263.4,266.9,275.9,290.7
37,35840,7510,"North Port-Sarasota-Bradenton, FL",104.6,105.5,105.9,104.4,105.2,105.3,107.2,113.9,112.8,128.4,116.8,N/A,N/A,131.1,145.1,174.8,242.8,235.5,226.1,190.0,142.5,136.0,125.0,135.0,150.0,165.0,180,190,207,218,223,245
38,35980,5520,"Norwich-New London, CT                                                                                                                                          ",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,79.2,96.3,123.3,143.6,160.3,186.1,183.7,174.9,165.2,168.5,136.1,125.9,123.5,118.7,136.5,136,133,134.3,135.4,153
39,37340,4900,"Palm Bay-Melbourne-Titusville, FL                                                                                                                               ",N/A,N/A,N/A,66.6,65.9,64.3,65.3,64.8,69.2,75.6,77.5,85.8,N/A,136.8,151.3,194.5,222.5,206.9,184.2,145.5,120.0,99.0,92.2,104.0,110.0,121.0,133,144,157,173,185.8,210
40,37980,6160,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD ",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,82.9,85.9,96.9,110.3,127.9,152.2,179.6,190.6,196.9,201.5,185.1,188.5,174.6,170.6,175.5,176.6,176.5,182.7,185.1,179.7,185.3,199.9
41,38060,6200,"Phoenix-Mesa-Scottsdale, AZ                                                                                                                                     ",50.1,55.5,54.3,55.3,59.1,60.4,63.6,67.0,71.6,75.9,79.6,84.4,89.1,95.9,103.1,111.8,158.5,182.0,186.3,162.4,101.1,79.4,65.9,83.4,105.0,109.1,121.2,133.7,150,166.4,178.5,206.4
42,38860,6400,"Portland-South Portland, ME                                                                                                                       ",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,169.3,202.5,208.5,210.4,198.0,194.6,184.3,184.9,199.5,190.5,197.1,209.8,210.9,225.4,227.8,248.5,262.3,291.9
43,38900,6440,"Portland-Vancouver-Hillsboro, OR-WA                                                                                                                     ",N/A,N/A,N/A,N/A,N/A,N/A,80.7,93.5,101.1,110.1,113.8,128.0,127.3,130.4,136.9,147.0,169.1,185.9,204.3,205.2,183.0,173.7,152.6,149.8,179.3,187.6,198,228.6,254.1,258.8,266.5,275
44,39300,6480,"Providence-Warwick, RI-MA",107.6,107.1,91.3,82.8,82.8,86.5,83.7,87.8,87.9,92.0,89.3,102.0,119.4,149.0,175.5,203.8,215.1,218.4,220.1,209.6,181.9,178.4,166.3,156.8,178.7,179.6,191.3,195.6,202.7,208,222.8,240.7
45,39900,6720,"Reno, NV",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,112.5,87.4,107.4,N/A,191.7,191.4,197.2,152.0,86.9,69.6,58.4,75.7,96.6,115.0,143.7,169.8,187.1,219.2,241.7,278.2
46,40060,6760,"Richmond, VA ",N/A,63.9,67.0,67.3,61.7,N/A,65.0,69.7,77.9,80.3,82.5,86.3,95.4,108.2,118.9,138.8,159.1,178.8,190.8,N/A,N/A,N/A,N/A,172.5,197.0,206.6,203.7,216.1,225.1,235.4,238.2,270.4
47,40140,6780,"Riverside-San Bernardino-Ontario, CA ",79.0,88.7,104.7,92.1,100.0,92.1,69.6,61.0,57.7,64.0,66.0,75.5,84.1,106.5,127.9,187.7,234.1,261.9,259.9,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
48,40380,6840,"Rochester, NY                                                                                                                                                   ",67.6,68.1,67.9,65.4,76.6,77.0,78.2,79.4,79.4,80.1,83.4,82.5,85.1,86.5,93.5,101.4,112.0,112.9,117.6,118.2,115.7,117.3,121.3,120.3,121.5,120.6,124.8,118.5,131.3,138.3,148.3,154.5
49,40900,6920,"Sacramento--Roseville--Arden-Arcade, CA",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,81.9,83.0,90.1,108.0,129.5,161.6,193.2,235.3,237.6,218.1,126.0,98.5,88.5,79.5,80.6,123.0,138.9,146.8,171.7,197.7,224.4,228.5,249.2
50,41620,7160,"Salt Lake City, UT                                                                                                                                              ",52.2,51.6,60.8,55.4,62.9,74.0,80.0,83.0,90.6,N/A,101.0,102.6,N/A,112.9,109.7,N/A,130.7,137.6,163.1,164.4,157.1,154.2,136.0,135.5,168.9,174.3,178.9,193,214.2,232.8,236.7,247.5
51,41740,7320,"San Diego-Carlsbad, CA",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,235.7,285.0,362.6,384.6,369.0,356.8,252.7,212.5,219.8,207.7,224.5,293.2,331.8,350.1,374,399.2,425,433.8,467
52,41860,7360,"San Francisco-Oakland-Hayward, CA",178.1,206.0,209.2,207.8,204.2,203.6,195.9,197.5,211.2,236.7,272.2,345.7,392.5,385.0,409.6,476.8,603.0,602.5,603.3,480.4,395.3,396.0,355.9,393.8,517.4,580.1,658.9,706.2,765.3,875.8,844.8,861.6
53,44140,8000,"Springfield, MA                                                                                                                                                 ",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,97.5,108.3,129.3,145.1,159.7,156.5,154.9,151.6,151.4,148.1,147.6,147.9,151.3,151.3,148.2,153.2,155.6,158.4,172.4
54,45060,8160,"Syracuse, NY                                                                                                                                                    ",N/A,N/A,N/A,N/A,N/A,78.8,73.0,85.3,85.0,80.4,79.1,77.4,89.6,82.9,93.4,120.3,134.0,143.2,133.1,141.5,122.4,138.2,133.2,117.7,130.6,129.9,117.9,123.3,132.2,147,136,156.7
55,45220,8240,"Tallahassee, FL",,,,,,,,,,,,,,,,,,,N/A,130.5,111.3,99.9,76.9,75.0,76.0,76.5,90.3,96.9,106,108,115.7,123
56,45300,8280,"Tampa-St. Petersburg-Clearwater, FL                                                                                                                             ",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,104.7,132.7,172.9,176.0,173.7,145.0,108.0,90.0,75.0,84.0,96.8,108.5,118.5,135,150,160,170,190
57,45780,8400,"Toledo, OH                                                                                                                                                      ",81.7,76.0,80.3,79.7,85.1,81.0,86.3,88.7,93.5,104.6,122.0,133.5,130.4,132.4,144.9,145.0,143.5,141.8,144.7,134.3,126.6,124.2,118.0,119.7,99.2,N/A,N/A,N/A,N/A,N/A,N/A,N/A
58,45940,8480,"Trenton, NJ                                                                                                                                         ",N/A,100.2,90.4,79.0,83.8,83.3,85.8,84.5,88.0,86.9,88.9,103.3,115.8,137.8,164.6,195.4,229.2,246.1,248.2,246.2,220.1,212.5,199.1,194.9,190.8,186.8,198.3,197.6,185.6,191.5,188.3,199.4
59,46060,8520,"Tucson, AZ                                                                                                                                                      ",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,103.2,113.5,121.4,152.7,162.5,151.5,135.6,106.7,110.9,90.7,99.9,107.7,112.3,119.7,123.6,135.5,143.7,154.5,171.6
60,46520,3320,"Urban Honolulu, HI                                                                                                                                              ",138.6,189.6,194.4,195.2,195.0,193.1,183.2,176.0,152.9,134.6,126.2,126.7,135.2,152.1,175.0,208.5,269.0,310.0,325.0,325.0,310.0,312.1,300.7,319.2,338.1,346.5,362.3,389.3,406.5,419.9,427.9,434.8
61,47260,5720,"Virginia Beach-Norfolk-Newport News, VA-NC ",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,142.7,172.2,197.0,195.0,194.1,190.0,190.0,170.0,165.0,169.5,171.0,175.9,187.5,195,194.9,205,239.9
62,47900,8840,"Washington-Arlington-Alexandria, DC-VA-MD-WV ",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,105.5,120.8,147.6,179.6,231.6,295.9,293.5,294.2,265.7,239.0,239.8,230.1,253.9,272.2,275.7,274.8,273.6,280.3,289.8,302.2,326.2
