MEDIAN SALES PRICE OF EXISTING SINGLE-FAMILY HOMES ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FOR METROPOLITAN AREAS: ANNUAL, 1989 - current",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(Not Seasonally Adjusted in Thousands of Dollars),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Existing Home Sales Program © 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
National Association of REALTORS ® Research Team,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"500 New Jersey Avenue, Washington, DC 20001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Existing Home Sales data are provided by NAR solely for use as a reference. No part of the data may be reproduced, stored in a retrieval system, transmitted or",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"redistributed in any form or by any means, electronic, mechanical, photocopying, recording or otherwise, without NAR's prior written consent. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CBSA,MSA,MSANAME,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
23,14500,1125,"Boulder, CO ",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,298.7,317.6,313.0,325.3,348.4,366.4,376.2,359.6,345.5,358.1,353.1,383.7,371.8,390.7,454.1,511.7,566.1,607.4,618.6,645.9
24,14540,14540,"Bowling Green, KY ",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,124.5,124.8,125.0,135.7,134.1,138.8,147.4,156.0,165.3,171.3,186.6,198.7
25,14860,1160,"Bridgeport-Stamford-Norwalk, CT ",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,442.8,495.7,518.3,566.6,556.4,571.5,514.3,445.4,479.9,458.8,458.7,473.3,467.0,448.1,437.2,455.9,451.5,445.6,544
26,15380,1281,"Buffalo-Cheektowaga-Niagara Falls, NY",73.7,78.5,81.0,83.1,84.9,83.7,82.7,84.3,83.4,85.6,82.8,81.1,85.5,86.6,90.5,95.0,99.0,97.9,104.0,105.4,113.6,121.2,119.2,126.9,131.0,129.0,129.8,132.5,142.7,152.8,160.9,178.5
27,15540,1305,"Burlington-South Burlington, VT",,,,,,,,,,,,,,,,,,,225.4,221.8,215.5,232.8,242.5,241.2,249.9,252.5,258.2,266.0,280.1,293.5,308.3,342.9
28,15940,1320,"Canton-Massillon, OH ",58.4,62.1,67.3,71.1,75.4,77.5,84.0,89.3,94.3,N/A,105.0,N/A,107.8,109.0,114.4,115.2,102.2,109.3,110.3,92.5,86.2,90.9,90.0,99.0,104.0,112.9,119.1,123.1,129.8,131.9,139.4,155.4
29,15980,2700,"Cape Coral-Fort Myers, FL",65.3,67.9,69.9,69.7,75.6,76.3,76.2,77.2,84.1,87.1,92.6,95.7,122.9,131.0,149.3,184.0,264.6,263.6,247.8,150.0,85.5,89.9,105.0,133.0,164.0,180.7,210.0,227.4,243.5,251,258.7,289
30,16020,16020,"Cape Girardeau, MO-IL",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,137.2,136.1,140.3,143,138.1,154.7,169.3
31,16300,1360,"Cedar Rapids, IA",50.5,55.2,58.9,67.3,73.0,77.5,80.7,85.3,88.7,95.7,99.0,105.6,108.3,111.2,114.9,121.2,123.3,125.2,127.5,127.7,130.7,135.4,129.9,135.9,145.8,141.9,151.5,151.0,152.6,159.2,165.6,173.1
32,16580,1400,"Champaign-Urbana, IL ",68.9,69.6,68.7,69.4,72.6,77.2,82.7,83.2,88.1,93.9,94.4,103.0,104.6,111.6,122.6,127.2,137.7,143.0,144.1,141.9,140.6,141.9,143.9,149.1,143.1,136.1,143.1,143.5,148.8,150.9,157.1,168.6
