Pending Home Sales,,,,,,,,,,,,,,,,,,,,,,,
United States & Each Region ,,,,,,,,,,,,,,,,,,,,,,,
Annual & Monthly: 2001-current,,,,,,,,,,,,,,,,,,,,,,,
(Seasonally Adjusted Annual Rates),,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Existing Home Sales Program © 2021,,,,,,,,,,,,,,,,,,,,,,,
National Association of REALTORS ® Research Division,,,,,,,,,,,,,,,,,,,,,,,
"500 New Jersey Avenue, Washington, DC 20001",,,,,,,,,,,,,,,,,,,,,,,
"Existing Home Sales data are provided by NAR solely for use as a reference. No part of the data may be reproduced, stored in a retrieval system, transmitted or",,,,,,,,,,,,,,,,,,,,,,,
"redistributed in any form or by any means, electronic, mechanical, photocopying, recording or otherwise, without NAR's prior written consent. ",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Month-to-Month % Change,,,,,,Year-Over-Year % Change,,,,,,,,,,
,US,NE,MW,SO,WE,,US,NE,MW,SO,WE,,US,NE,MW,SO,WE,,,,,,
Annual,,,,,,,,,,,,,,,,,,,,,,,
2004.07,120.9,109.8,118.2,126.9,123.2,,1.2%,0.8%,1.5%,0.2%,2.8%,,6.4%,5.3%,-1.5%,13.4%,5.6%,,,,,,
2004.08,121.8,109.4,118.3,129.7,122.9,,0.7%,-0.4%,0.1%,2.2%,-0.2%,,13.3%,8.4%,5.2%,20.2%,15.3%,,,,,,
2004.09,124.0,110.8,120.6,130.1,128.4,,1.8%,1.3%,1.9%,0.3%,4.5%,,15.0%,8.6%,10.8%,18.7%,18.5%,,,,,,
2004.10,125.5,109.5,124.4,131.4,130.0,,1.2%,-1.2%,3.2%,1.0%,1.2%,,14.0%,4.0%,13.9%,17.0%,16.9%,,,,,,
2004.11,123.6,107.7,119.0,131.5,128.4,,-1.5%,-1.6%,-4.3%,0.1%,-1.2%,,12.3%,-3.7%,13.0%,18.5%,14.0%,,,,,,
2004.12,124.0,108.4,118.2,131.3,130.7,,0.3%,0.6%,-0.7%,-0.2%,1.8%,,13.9%,5.3%,7.8%,18.4%,19.3%,,,,,,
2005.01,122.1,110.8,112.1,129.5,129.9,,-1.5%,2.2%,-5.1%,-1.4%,-0.6%,,9.9%,3.9%,1.4%,11.3%,21.5%,,,,,,
2005.02,124.2,107.4,119.7,130.8,131.7,,1.7%,-3.0%,6.7%,1.0%,1.4%,,8.9%,0.7%,7.9%,9.0%,15.6%,,,,,,
2005.03,123.7,108.5,117.3,131.4,130.2,,-0.4%,1.0%,-2.0%,0.4%,-1.1%,,2.5%,-6.9%,-3.9%,5.6%,11.7%,,,,,,
2005.04,126.9,116.1,119.6,136.3,128.0,,2.6%,7.0%,2.0%,3.8%,-1.7%,,8.0%,9.0%,3.3%,11.2%,6.9%,,,,,,
