Inventory and Months Supply of Condo/Coops,,,,,,,,,,,,,,
United States,,,,,,,,,,,,,,
"Annual and monthly, 1999 - current",,,,,,,,,,,,,,
(Not Seasonally Adjusted),,,,,,,,,,,,,,
Existing Home Sales Program © 2021,,,,,,,,,,,,,,
National Association of REALTORS ® Research Division,,,,,,,,,,,,,,
"500 New Jersey Avenue, Washington, DC 20001",,,,,,,,,,,,,,
"Existing Home Sales data are provided by NAR solely for use as a reference. No part of the data may be reproduced, stored in a retrieval system, transmitted or",,,,,,,,,,,,,,
"redistributed in any form or by any means, electronic, mechanical, photocopying, recording or otherwise, without NAR's prior written consent. ",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Inventory,Months Supply,,,,,,,,,,,,
2008.05,"544,000",14.2,,,,,,,,,,,,
2008.06,"468,000",12.2,,,,,,,,,,,,
2008.07,"621,000",16.2,,,,,,,,,,,,
2008.08,"593,000",15.8,,,,,,,,,,,,
2008.09,"568,000",14.5,,,,,,,,,,,,
2008.10,"602,000",15.7,,,,,,,,,,,,
2008.11,"500,000",15.8,,,,,,,,,,,,
2008.12,"501,000",14.3,,,,,,,,,,,,
2009.01,"393,000",13.1,,,,,,,,,,,,
2009.02,"468,000",14.0,,,,,,,,,,,,
2009.03,"502,000",15.9,,,,,,,,,,,,
2009.04,"509,000",15.7,,,,,,,,,,,,
2009.05,"507,000",14.5,,,,,,,,,,,,
2009.06,"506,000",13.8,,,,,,,,,,,,
2009.07,"591,000",14.8,,,,,,,,,,,,
2009.08,"488,000",12.0,,,,,,,,,,,,
2009.09,"486,000",11.7,,,,,,,,,,,,
2009.10,"440,000",9.4,,,,,,,,,,,,
2009.11,"400,000",7.9,,,,,,,,,,,,
2009.12,"411,000",9.9,,,,,,,,,,,,
2010.01,"360,000",8.8,,,,,,,,,,,,
2010.02,"464,000",10.5,,,,,,,,,,,,
2010.03,"473,000",11.4,,,,,,,,,,,,
2010.04,"476,000",10.6,,,,,,,,,,,,
2010.05,"499,000",11.1,,,,,,,,,,,,
2010.06,"450,000",10.8,,,,,,,,,,,,
2010.07,"538,000",16.6,,,,,,,,,,,,
2010.08,"508,000",14.2,,,,,,,,,,,,
2010.09,"517,000",14.8,,,,,,,,,,,,
2010.10,"480,000",13.4,,,,,,,,,,,,
2010.11,"414,000",10.8,,,,,,,,,,,,
2010.12,"429,000",10.3,,,,,,,,,,,,
2011.01,"372,000",8.0,,,,,,,,,,,,
2011.02,"428,000",10.5,,,,,,,,,,,,
2011.03,"442,000",10.4,,,,,,,,,,,,
2011.04,"438,000",11.0,,,,,,,,,,,,
2011.05,"418,000",10.5,,,,,,,,,,,,
2011.06,"383,000",10.0,,,,,,,,,,,,
2011.07,"480,000",13.1,,,,,,,,,,,,
2011.08,"383,000",9.2,,,,,,,,,,,,
2011.09,"410,000",10.0,,,,,,,,,,,,
2011.10,"346,000",8.8,,,,,,,,,,,,
2011.11,"294,000",7.7,,,,,,,,,,,,
2011.12,"291,000",7.3,,,,,,,,,,,,
2012.01,"253,000",6.0,,,,,,,,,,,,
2012.02,"316,000",7.4,,,,,,,,,,,,
2012.03,"295,000",7.1,,,,,,,,,,,,
2012.04,"318,000",7.5,,,,,,,,,,,,
2012.05,"289,000",6.8,,,,,,,,,,,,
2012.06,"268,000",6.6,,,,,,,,,,,,
2012.07,"318,000",7.5,,,,,,,,,,,,
2012.08,"269,000",5.9,,,,,,,,,,,,
2012.09,"277,000",5.9,,,,,,,,,,,,
2012.10,"253,000",5.4,,,,,,,,,,,,
2012.11,"222,000",4.4,,,,,,,,,,,,
2012.12,"224,000",4.7,,,,,,,,,,,,
2013.01,"191,000",4.1,,,,,,,,,,,,
2013.02,"251,000",4.9,,,,,,,,,,,,
2013.03,"244,000",4.8,,,,,,,,,,,,
2013.04,"239,000",4.9,,,,,,,,,,,,
2013.05,"241,000",4.9,,,,,,,,,,,,
2013.06,"230,000",4.6,,,,,,,,,,,,
2013.07,"276,000",5.3,,,,,,,,,,,,
2013.08,"244,000",4.6,,,,,,,,,,,,
2013.09,"250,000",4.9,,,,,,,,,,,,
2013.10,"245,000",4.7,,,,,,,,,,,,
2013.11,"222,000",4.4,,,,,,,,,,,,
2013.12,"222,000",4.7,,,,,,,,,,,,
2014.01,"205,000",4.2,,,,,,,,,,,,
2014.02,"249,000",5.1,,,,,,,,,,,,
2014.03,"257,000",5.4,,,,,,,,,,,,
2014.04,"269,000",5.5,,,,,,,,,,,,
2014.05,"246,000",5.0,,,,,,,,,,,,
2014.06,"242,000",4.9,,,,,,,,,,,,
2014.07,"280,000",5.7,,,,,,,,,,,,
2014.08,"255,000",5.4,,,,,,,,,,,,
2014.09,"257,000",5.2,,,,,,,,,,,,
2014.10,"261,000",5.1,,,,,,,,,,,,
2014.11,"227,000",4.5,,,,,,,,,,,,
2014.12,"216,000",4.4,,,,,,,,,,,,
2015.01,"194,000",4.2,,,,,,,,,,,,
2015.02,"238,000",4.9,,,,,,,,,,,,
2015.03,"263,000",5.1,,,,,,,,,,,,
2015.04,"257,000",5.1,,,,,,,,,,,,
2015.05,"254,000",5.1,,,,,,,,,,,,
2015.06,"247,000",4.7,,,,,,,,,,,,
2015.07,"269,000",5.1,,,,,,,,,,,,
2015.08,"255,000",4.9,,,,,,,,,,,,
2015.09,"245,000",4.8,,,,,,,,,,,,
2015.10,"243,000",4.9,,,,,,,,,,,,
2015.11,"231,000",4.8,,,,,,,,,,,,
2015.12,"213,000",4.1,,,,,,,,,,,,
2016.01,"196,000",3.9,,,,,,,,,,,,
2016.02,"225,000",4.5,,,,,,,,,,,,
2016.03,"238,000",4.7,,,,,,,,,,,,
2016.04,"247,000",4.9,,,,,,,,,,,,
2016.05,"248,000",4.8,,,,,,,,,,,,
2016.06,"234,000",4.5,,,,,,,,,,,,
2016.07,"253,000",5.1,,,,,,,,,,,,
2016.08,"233,000",4.5,,,,,,,,,,,,
2016.09,"240,000",4.6,,,,,,,,,,,,
2016.10,"230,000",4.5,,,,,,,,,,,,
2016.11,"216,000",4.1,,,,,,,,,,,,
2016.12,"195,000",3.8,,,,,,,,,,,,
2017.01,"172,000",3.3,,,,,,,,,,,,
2017.02,"211,000",4.2,,,,,,,,,,,,
2017.03,"223,000",4.2,,,,,,,,,,,,
2017.04,"223,000",4.3,,,,,,,,,,,,
2017.05,"225,000",4.2,,,,,,,,,,,,
2017.06,"215,000",4.2,,,,,,,,,,,,
2017.07,"229,000",4.5,,,,,,,,,,,,
2017.08,"217,000",4.2,,,,,,,,,,,,
2017.09,"217,000",4.3,,,,,,,,,,,,
2017.10,"204,000",3.9,,,,,,,,,,,,
2017.11,"195,000",3.7,,,,,,,,,,,,
2017.12,"173,000",3.3,,,,,,,,,,,,
2018.01,"157,000",3.1,,,,,,,,,,,,
2018.02,"182,000",3.6,,,,,,,,,,,,
2018.03,"195,000",3.8,,,,,,,,,,,,
2018.04,"215,000",4.1,,,,,,,,,,,,
2018.05,"206,000",4.1,,,,,,,,,,,,
2018.06,"210,000",4.1,,,,,,,,,,,,
2018.07,"215,000",4.3,,,,,,,,,,,,
2018.08,"219,000",4.4,,,,,,,,,,,,
2018.09,"221,000",4.6,,,,,,,,,,,,
2018.10,"218,000",4.4,,,,,,,,,,,,
2018.11,"207,000",4.3,,,,,,,,,,,,
2018.12,"187,000",4.2,,,,,,,,,,,,
2019.01,"182,000",3.9,,,,,,,,,,,,
2019.02,"194,000",4.1,,,,,,,,,,,,
2019.03,"204,000",4.4,,,,,,,,,,,,
2019.04,"221,000",4.7,,,,,,,,,,,,
2019.05,"224,000",4.6,,,,,,,,,,,,
2019.06,"220,000",4.6,,,,,,,,,,,,
2019.07,"226,000",4.7,,,,,,,,,,,,
2019.08,"215,000",4.4,,,,,,,,,,,,
2019.09,"217,000",4.5,,,,,,,,,,,,
2019.10,"213,000",4.4,,,,,,,,,,,,
2019.11,"193,000",4.1,,,,,,,,,,,,
2019.12,"175,000",3.5,,,,,,,,,,,,
2020.01,"161,000",3.3,,,,,,,,,,,,
2020.02,"170,000",3.5,,,,,,,,,,,,
2020.03,"176,000",3.8,,,,,,,,,,,,
2020.04,"173,000",5.3,,,,,,,,,,,,
2020.05,"187,000",6.2,,,,,,,,,,,,
2020.06,"196,000",5.1,,,,,,,,,,,,
2020.07,"204,000",4.2,,,,,,,,,,,,
2020.08,"221,000",4.2,,,,,,,,,,,,
2020.09,"226,000",4.0,,,,,,,,,,,,
2020.10,"220,000",3.7,,,,,,,,,,,,
2020.11,"201,000",3.4,,,,,,,,,,,,
2020.12,"179,000",2.9,,,,,,,,,,,,
