Existing Condo/Coop Sales,,,,,,,,,,,,,,,,,,,
United States and Each Region ,,,,,,,,,,,,,,,,,,,
"Monthly, 1999 to current",,,,,,,,,,,,,,,,,,,
(Not Seasonally Adjusted),,,,,,,,,,,,,,,,,,,
Existing Home Sales Program © 2021,,,,,,,,,,,,,,,,,,,
National Association of REALTORS ® Research Division,,,,,,,,,,,,,,,,,,,
"500 New Jersey Avenue, Washington, DC 20001",,,,,,,,,,,,,,,,,,,
"Existing Home Sales data are provided by NAR solely for use as a reference. No part of the data may be reproduced, stored in a retrieval system, transmitted or",,,,,,,,,,,,,,,,,,,
"redistributed in any form or by any means, electronic, mechanical, photocopying, recording or otherwise, without NAR's prior written consent. ",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,Year over Year % Change,,,,,,,,,,,,
,U.S.,Northeast,Midwest,South,West,,U.S.,Northeast,Midwest,South,West,,,,,,,,
2005.12,"70,000","27,000","14,000","19,000","10,000",,1.4%,0.0%,16.7%,0.0%,-9.1%,,,,,,,,
2006.01,"43,000","14,000","9,000","13,000","7,000",,-4.4%,-6.7%,0.0%,-7.1%,0.0%,,,,,,,,
2006.02,"50,000","18,000","8,000","16,000","8,000",,-2.0%,5.9%,0.0%,-5.9%,-11.1%,,,,,,,,
2006.03,"69,000","21,000","14,000","22,000","12,000",,0.0%,0.0%,7.7%,0.0%,-7.7%,,,,,,,,
2006.04,"67,000","24,000","13,000","19,000","11,000",,-13.0%,-7.7%,-7.1%,-20.8%,-15.4%,,,,,,,,
2006.05,"83,000","32,000","18,000","20,000","13,000",,-4.6%,0.0%,5.9%,-16.7%,-7.1%,,,,,,,,
2006.06,"81,000","30,000","18,000","20,000","13,000",,-12.0%,-14.3%,0.0%,-16.7%,-13.3%,,,,,,,,
2006.07,"84,000","35,000","19,000","20,000","10,000",,-11.6%,-14.6%,-5.0%,-9.1%,-16.7%,,,,,,,,
2006.08,"82,000","32,000","18,000","19,000","13,000",,-15.5%,-13.5%,-10.0%,-17.4%,-23.5%,,,,,,,,
2006.09,"67,000","26,000","15,000","17,000","9,000",,-17.3%,-16.1%,-11.8%,-19.0%,-25.0%,,,,,,,,
2006.10,"61,000","23,000","13,000","15,000","10,000",,-10.3%,-11.5%,0.0%,-16.7%,-9.1%,,,,,,,,
2006.11,"55,000","21,000","12,000","14,000","8,000",,-14.1%,-8.7%,-14.3%,-17.6%,-20.0%,,,,,,,,
2006.12,"59,000","23,000","12,000","16,000","8,000",0,-15.7%,-14.8%,-14.3%,-15.8%,-20.0%,,,,,,,,
2007.01,"37,000","6,000","6,000","15,000","10,000",0,-14.0%,-57.1%,-33.3%,15.4%,42.9%,,,,,,,,
2007.02,"44,000","8,000","5,000","19,000","12,000",0,-12.0%,-55.6%,-37.5%,18.8%,50.0%,,,,,,,,
2007.03,"58,000","9,000","8,000","24,000","17,000",0,-15.9%,-57.1%,-42.9%,9.1%,41.7%,,,,,,,,
2007.04,"57,000","11,000","9,000","22,000","15,000",0,-14.9%,-54.2%,-30.8%,15.8%,36.4%,,,,,,,,
2007.05,"65,000","14,000","10,000","24,000","17,000",0,-21.7%,-56.3%,-44.4%,20.0%,30.8%,,,,,,,,
2007.06,"64,000","13,000","11,000","23,000","17,000",0,-21.0%,-56.7%,-38.9%,15.0%,30.8%,,,,,,,,
2007.07,"66,000","16,000","12,000","24,000","14,000",0,-21.4%,-54.3%,-36.8%,20.0%,40.0%,,,,,,,,
2007.08,"64,000","14,000","11,000","21,000","18,000",0,-22.0%,-56.3%,-38.9%,10.5%,38.5%,,,,,,,,
2007.09,"48,000","10,000","8,000","18,000","12,000",0,-28.4%,-61.5%,-46.7%,5.9%,33.3%,,,,,,,,
2007.10,"44,000","9,000","7,000","17,000","11,000",0,-27.9%,-60.9%,-46.2%,13.3%,10.0%,,,,,,,,
2007.11,"39,000","8,000","7,000","14,000","10,000",0,-29.1%,-61.9%,-41.7%,0.0%,25.0%,,,,,,,,
2007.12,"38,000","8,000","6,000","15,000","9,000",0,-35.6%,-65.2%,-50.0%,-6.3%,12.5%,,,,,,,,
2008.01,"24,000","5,000","4,000","9,000","6,000",0,-35.1%,-16.7%,-33.3%,-40.0%,-40.0%,,,,,,,,
2008.02,"30,000","6,000","4,000","13,000","7,000",0,-31.8%,-25.0%,-20.0%,-31.6%,-41.7%,,,,,,,,
2008.03,"37,000","7,000","6,000","15,000","9,000",0,-36.2%,-22.2%,-25.0%,-37.5%,-47.1%,,,,,,,,
2008.04,"39,000","9,000","6,000","14,000","10,000",0,-31.6%,-18.2%,-33.3%,-36.4%,-33.3%,,,,,,,,
2008.05,"45,000","11,000","7,000","16,000","11,000",0,-30.8%,-21.4%,-30.0%,-33.3%,-35.3%,,,,,,,,
2008.06,"47,000","11,000","8,000","17,000","11,000",0,-26.6%,-15.4%,-27.3%,-26.1%,-35.3%,,,,,,,,
2008.07,"51,000","14,000","9,000","17,000","11,000",0,-22.7%,-12.5%,-25.0%,-29.2%,-21.4%,,,,,,,,
2008.08,"47,000","11,000","7,000","15,000","14,000",0,-26.6%,-21.4%,-36.4%,-28.6%,-22.2%,,,,,,,,
2008.09,"41,000","9,000","7,000","14,000","11,000",0,-14.6%,-10.0%,-12.5%,-22.2%,-8.3%,,,,,,,,
2008.10,"38,000","8,000","5,000","13,000","12,000",0,-13.6%,-11.1%,-28.6%,-23.5%,9.1%,,,,,,,,
2008.11,"28,000","6,000","4,000","9,000","9,000",0,-28.2%,-25.0%,-42.9%,-35.7%,-10.0%,,,,,,,,
2008.12,"32,000","6,000","4,000","12,000","10,000",0,-15.8%,-25.0%,-33.3%,-20.0%,11.1%,,,,,,,,
2009.01,"18,000","3,000","2,000","7,000","6,000",0,-25.0%,-40.0%,-50.0%,-22.2%,0.0%,,,,,,,,
2009.02,"25,000","5,000","2,000","11,000","7,000",0,-16.7%,-16.7%,-50.0%,-15.4%,0.0%,,,,,,,,
2009.03,"32,000","5,000","3,000","14,000","10,000",0,-13.5%,-28.6%,-50.0%,-6.7%,11.1%,,,,,,,,
2009.04,"34,000","7,000","4,000","13,000","10,000",0,-12.8%,-22.2%,-33.3%,-7.1%,0.0%,,,,,,,,
2009.05,"39,000","9,000","5,000","15,000","10,000",0,-13.3%,-18.2%,-28.6%,-6.3%,-9.1%,,,,,,,,
2009.06,"45,000","10,000","6,000","17,000","12,000",0,-4.3%,-9.1%,-25.0%,0.0%,9.1%,,,,,,,,
2009.07,"53,000","15,000","8,000","19,000","11,000",0,3.9%,7.1%,-11.1%,11.8%,0.0%,,,,,,,,
2009.08,"47,000","12,000","6,000","16,000","13,000",0,0.0%,9.1%,-14.3%,6.7%,-7.1%,,,,,,,,
2009.09,"45,000","10,000","6,000","18,000","11,000",0,9.8%,11.1%,-14.3%,28.6%,0.0%,,,,,,,,
2009.10,"46,000","10,000","6,000","18,000","12,000",0,21.1%,25.0%,20.0%,38.5%,0.0%,,,,,,,,
2009.11,"40,000","10,000","6,000","16,000","8,000",0,42.9%,66.7%,50.0%,77.8%,-11.1%,,,,,,,,
2009.12,"40,000","9,000","4,000","16,000","11,000",0,25.0%,50.0%,0.0%,33.3%,10.0%,,,,,,,,
2010.01,"24,000","4,000","3,000","10,000","7,000",0,33.3%,33.3%,50.0%,42.9%,16.7%,,,,,,,,
2010.02,"33,000","6,000","3,000","15,000","9,000",0,32.0%,20.0%,50.0%,36.4%,28.6%,,,,,,,,
2010.03,"44,000","7,000","4,000","20,000","13,000",0,37.5%,40.0%,33.3%,42.9%,30.0%,,,,,,,,
2010.04,"48,000","11,000","5,000","19,000","13,000",0,41.2%,57.1%,25.0%,46.2%,30.0%,,,,,,,,
2010.05,"49,000","10,000","6,000","20,000","13,000",0,25.6%,11.1%,20.0%,33.3%,30.0%,,,,,,,,
2010.06,"51,000","10,000","7,000","21,000","13,000",0,13.3%,0.0%,16.7%,23.5%,8.3%,,,,,,,,
2010.07,"41,000","10,000","5,000","17,000","9,000",0,-22.6%,-33.3%,-37.5%,-10.5%,-18.2%,,,,,,,,
2010.08,"41,000","9,000","4,000","16,000","12,000",0,-12.8%,-25.0%,-33.3%,0.0%,-7.7%,,,,,,,,
2010.09,"37,000","7,000","4,000","17,000","9,000",0,-17.8%,-30.0%,-33.3%,-5.6%,-18.2%,,,,,,,,
2010.10,"35,000","7,000","4,000","15,000","9,000",0,-23.9%,-30.0%,-33.3%,-16.7%,-25.0%,,,,,,,,
2010.11,"30,000","6,000","4,000","14,000","6,000",0,-25.0%,-40.0%,-33.3%,-12.5%,-25.0%,,,,,,,,
2010.12,"41,000","8,000","4,000","18,000","11,000",0,2.5%,-11.1%,0.0%,12.5%,0.0%,,,,,,,,
2011.01,"28,000","4,000","3,000","13,000","8,000",0,16.7%,0.0%,0.0%,30.0%,14.3%,,,,,,,,
2011.02,"32,000","5,000","2,000","16,000","9,000",0,-3.0%,-16.7%,-33.3%,6.7%,0.0%,,,,,,,,
2011.03,"46,000","6,000","4,000","23,000","13,000",0,4.5%,-14.3%,0.0%,15.0%,0.0%,,,,,,,,
2011.04,"42,000","7,000","4,000","19,000","12,000",0,-12.5%,-36.4%,-20.0%,0.0%,-7.7%,,,,,,,,
2011.05,"43,000","9,000","5,000","18,000","11,000",0,-12.2%,-10.0%,-16.7%,-10.0%,-15.4%,,,,,,,,
2011.06,"45,000","8,000","6,000","19,000","12,000",0,-11.8%,-20.0%,-14.3%,-9.5%,-7.7%,,,,,,,,
2011.07,"45,000","11,000","6,000","19,000","9,000",0,9.8%,10.0%,20.0%,11.8%,0.0%,,,,,,,,
2011.08,"46,000","10,000","5,000","17,000","14,000",0,12.2%,11.1%,25.0%,6.3%,16.7%,,,,,,,,
2011.09,"42,000","8,000","5,000","19,000","10,000",0,13.5%,14.3%,25.0%,11.8%,11.1%,,,,,,,,
2011.10,"38,000","7,000","4,000","17,000","10,000",0,8.6%,0.0%,0.0%,13.3%,11.1%,,,,,,,,
2011.11,"31,000","6,000","4,000","14,000","7,000",0,3.3%,0.0%,0.0%,0.0%,16.7%,,,,,,,,
2011.12,"39,000","8,000","4,000","16,000","11,000",0,-4.9%,0.0%,0.0%,-11.1%,0.0%,,,,,,,,
2012.01,"26,000","4,000","3,000","11,000","8,000",0,-7.1%,0.0%,0.0%,-15.4%,0.0%,,,,,,,,
