Inventory and Months Supply of Total EHS,,,,,,,
United States,,,,,,,
"Annual and monthly, 1999 - current",,,,,,,
(Not Seasonally Adjusted and Seasonally Adjusted),,,,,,,
Existing Home Sales Program © 2021,,,,,,,
National Association of REALTORS ® Research Division,,,,,,,
"500 New Jersey Avenue, Washington, DC 20001",,,,,,,
"Existing Home Sales data are provided by NAR solely for use as a reference. No part of the data may be reproduced, stored in a retrieval system, transmitted or",,,,,,,
"redistributed in any form or by any means, electronic, mechanical, photocopying, recording or otherwise, without NAR's prior written consent. ",,,,,,,
,,,,,,,
,,,,,,,
,Inventory,Months Supply,,SA Inv,SA Months,,
2013.07,"2,240,000",5.1,,"2,070,000",4.7,,
2013.08,"2,210,000",5.0,,"2,070,000",4.7,,
2013.09,"2,170,000",5.1,,"2,070,000",4.8,,
2013.10,"2,110,000",5.0,,"2,080,000",5.0,,
2013.11,"2,050,000",5.0,,"2,120,000",5.2,,
2013.12,"1,860,000",4.6,,"2,100,000",5.2,,
2014.01,"1,880,000",4.7,,"2,110,000",5.3,,
2014.02,"1,900,000",4.8,,"2,050,000",5.1,,
2014.03,"1,960,000",5.0,,"2,070,000",5.2,,
2014.04,"2,230,000",5.6,,"2,120,000",5.3,,
2014.05,"2,250,000",5.5,,"2,120,000",5.2,,
2014.06,"2,290,000",5.6,,"2,160,000",5.2,,
2014.07,"2,350,000",5.7,,"2,180,000",5.3,,
2014.08,"2,330,000",5.6,,"2,160,000",5.2,,
2014.09,"2,280,000",5.5,,"2,180,000",5.2,,
2014.10,"2,240,000",5.3,,"2,190,000",5.1,,
2014.11,"2,080,000",5.0,,"2,130,000",5.1,,
2014.12,"1,860,000",4.4,,"2,110,000",5,,
2015.01,"1,860,000",4.5,,"2,110,000",5.1,,
2015.02,"1,900,000",4.5,,"2,050,000",4.8,,
2015.03,"2,010,000",4.6,,"2,110,000",4.8,,
2015.04,"2,220,000",5.2,,"2,110,000",4.9,,
2015.05,"2,280,000",5.2,,"2,140,000",4.9,,
2015.06,"2,250,000",5.0,,"2,120,000",4.7,,
2015.07,"2,260,000",5.0,,"2,090,000",4.6,,
2015.08,"2,270,000",5.1,,"2,120,000",4.7,,
2015.09,"2,190,000",4.9,,"2,080,000",4.6,,
2015.10,"2,110,000",4.8,,"2,060,000",4.7,,
2015.11,"2,040,000",5.1,,"2,100,000",5.3,,
2015.12,"1,760,000",3.9,,"2,030,000",4.5,,
2016.01,"1,820,000",4.0,,"2,050,000",4.5,,
2016.02,"1,870,000",4.3,,"2,020,000",4.6,,
2016.03,"1,960,000",4.4,,"2,050,000",4.6,,
2016.04,"2,120,000",4.7,,"2,030,000",4.5,,
2016.05,"2,140,000",4.7,,"2,010,000",4.4,,
2016.06,"2,110,000",4.6,,"1,980,000",4.3,,
2016.07,"2,110,000",4.7,,"1,960,000",4.4,,
