Average Sales Price of Existing Single-Family Homes,,,,,,,,,,,,,,,,,
United States and Each Region ,,,,,,,,,,,,,,,,,
Annual and Monthly Data:  1989 to present,,,,,,,,,,,,,,,,,
(Not seasonally adjusted),,,,,,,,,,,,,,,,,
Existing Home Sales Program © 2021,,,,,,,,,,,,,,,,,
National Association of REALTORS ® Research Division,,,,,,,,,,,,,,,,,
"500 New Jersey Avenue, Washington, DC 20001",,,,,,,,,,,,,,,,,
"Existing Home Sales data are provided by NAR solely for use as a reference. No part of the data may be reproduced, stored in a retrieval system, transmitted or",,,,,,,,,,,,,,,,,
"redistributed in any form or by any means, electronic, mechanical, photocopying, recording or otherwise, without NAR's prior written consent. ",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,Year over Year % Change,,,,,,,,,,
,U.S.,Northeast,Midwest,South,West,,U.S.,Northeast,Midwest,South,West,,,,,,
1991.10,"128,100","156,900","95,600","111,400","170,500",,9.8%,8.9%,8.8%,8.8%,12.3%,,,,,,
1991.11,"126,200","161,200","95,500","109,700","163,400",,8.9%,10.2%,9.0%,8.2%,8.8%,,,,,,
1991.12,"129,100","158,700","97,400","113,700","169,100",,11.4%,10.5%,8.6%,13.0%,11.9%,,,,,,
1992.01,"129,500","157,100","96,300","112,900","174,600",,5.3%,5.9%,4.9%,7.4%,2.9%,,,,,,
1992.02,"129,000","151,200","96,100","114,300","173,300",,5.2%,2.1%,6.3%,7.0%,4.2%,,,,,,
1992.03,"130,100","162,200","95,700","114,900","171,000",,3.5%,3.1%,3.2%,4.0%,3.4%,,,,,,
1992.04,"131,000","163,400","98,300","115,200","169,300",,1.0%,0.5%,3.8%,4.1%,-3.9%,,,,,,
1992.05,"132,000","160,000","99,300","116,500","172,100",,0.2%,-2.7%,3.5%,2.0%,-2.6%,,,,,,
1992.06,"134,600","165,600","103,100","119,500","172,500",,1.8%,-0.6%,3.1%,3.9%,0.0%,,,,,,
1992.07,"132,700","168,800","100,300","113,800","174,600",,-1.0%,2.1%,0.3%,-2.0%,-2.5%,,,,,,
1992.08,"131,600","167,200","102,300","117,800","163,300",,-0.1%,-1.9%,2.8%,4.4%,-5.7%,,,,,,
1992.09,"132,500","161,500","101,600","115,800","172,700",,1.4%,0.7%,5.9%,0.9%,-0.4%,,,,,,
1992.10,"130,500","157,200","99,400","115,200","170,300",,1.9%,0.2%,4.0%,3.4%,-0.1%,,,,,,
1992.11,"129,400","160,200","99,900","115,800","162,400",,2.5%,-0.6%,4.6%,5.6%,-0.6%,,,,,,
1992.12,"130,900","159,200","101,900","115,600","168,400",,1.4%,0.3%,4.6%,1.7%,-0.4%,,,,,,
1993.01,"127,700","149,900","98,700","112,900","168,000",,-1.4%,-4.6%,2.5%,0.0%,-3.8%,,,,,,
1993.02,"128,000","148,900","98,600","114,400","167,100",,-0.8%,-1.5%,2.6%,0.1%,-3.6%,,,,,,
1993.03,"130,400","157,800","99,200","115,500","169,300",,0.2%,-2.7%,3.7%,0.5%,-1.0%,,,,,,
1993.04,"132,700","163,600","101,600","116,400","170,800",,1.3%,0.1%,3.4%,1.0%,0.9%,,,,,,
1993.05,"132,900","158,100","104,000","117,900","169,500",,0.7%,-1.2%,4.7%,1.2%,-1.5%,,,,,,
1993.06,"138,500","172,600","108,100","124,200","171,600",,2.9%,4.2%,4.8%,3.9%,-0.5%,,,,,,
1993.07,"136,700","172,000","105,200","121,000","172,900",,3.0%,1.9%,4.9%,6.3%,-1.0%,,,,,,
1993.08,"135,900","171,900","107,500","121,100","168,000",,3.3%,2.8%,5.1%,2.8%,2.9%,,,,,,
1993.09,"135,800","163,600","104,800","120,300","174,400",,2.5%,1.3%,3.1%,3.9%,1.0%,,,,,,
1993.10,"134,400","162,500","104,000","119,600","172,000",,3.0%,3.4%,4.6%,3.8%,1.0%,,,,,,
1993.11,"134,100","165,000","105,900","118,600","168,400",,3.6%,3.0%,6.0%,2.4%,3.7%,,,,,,
1993.12,"135,100","166,800","105,700","119,000","171,800",,3.2%,4.8%,3.7%,2.9%,2.0%,,,,,,
1994.01,"135,400","160,100","106,000","119,600","175,400",,6.0%,6.8%,7.4%,5.9%,4.4%,,,,,,
1994.02,"134,100","155,600","103,200","120,300","174,500",,4.8%,4.5%,4.7%,5.2%,4.4%,,,,,,
1994.03,"135,000","161,900","102,500","119,300","176,400",,3.5%,2.6%,3.3%,3.3%,4.2%,,,,,,
1994.04,"136,800","164,400","106,900","118,300","178,700",,3.1%,0.5%,5.2%,1.6%,4.6%,,,,,,
1994.05,"138,600","161,100","108,600","121,100","182,000",,4.3%,1.9%,4.4%,2.7%,7.4%,,,,,,
1994.06,"143,300","171,600","113,000","126,300","183,800",,3.5%,-0.6%,4.5%,1.7%,7.1%,,,,,,
1994.07,"141,200","172,200","112,600","121,000","183,400",,3.3%,0.1%,7.0%,0.0%,6.1%,,,,,,
1994.08,"142,000","175,700","113,500","124,000","179,900",,4.5%,2.2%,5.6%,2.4%,7.1%,,,,,,
1994.09,"139,200","162,500","109,300","121,300","183,100",,2.5%,-0.7%,4.3%,0.8%,5.0%,,,,,,
1994.10,"136,300","158,100","108,400","119,500","177,000",,1.4%,-2.7%,4.2%,-0.1%,2.9%,,,,,,
1994.11,"136,600","161,900","107,200","119,900","177,500",,1.9%,-1.9%,1.2%,1.1%,5.4%,,,,,,
1994.12,"138,500","165,800","111,900","119,200","178,700",,2.5%,-0.6%,5.9%,0.2%,4.0%,,,,,,
1995.01,"136,100","159,000","108,800","118,500","178,000",,0.5%,-0.7%,2.6%,-0.9%,1.5%,,,,,,
1995.02,"134,500","153,600","105,700","117,900","178,300",,0.3%,-1.3%,2.4%,-2.0%,2.2%,,,,,,
1995.03,"135,700","159,100","107,900","118,700","175,000",,0.5%,-1.7%,5.3%,-0.5%,-0.8%,,,,,,
1995.04,"136,100","159,000","108,800","117,000","178,500",,-0.5%,-3.3%,1.8%,-1.1%,-0.1%,,,,,,
1995.05,"138,200","157,400","113,200","119,300","179,600",,-0.3%,-2.3%,4.2%,-1.5%,-1.3%,,,,,,
1995.06,"145,400","172,100","118,300","127,100","184,500",,1.5%,0.3%,4.7%,0.6%,0.4%,,,,,,
1995.07,"144,200","172,400","118,600","124,300","184,100",,2.1%,0.1%,5.3%,2.7%,0.4%,,,,,,
1995.08,"145,000","173,600","120,300","124,700","184,800",,2.1%,-1.2%,6.0%,0.6%,2.7%,,,,,,
