Average Sales Price of Existing Condo Homes,,,,,,,,,,,,,,,,,,,,,,,,,,
United States and Each Region ,,,,,,,,,,,,,,,,,,,,,,,,,,
Annual and Monthly Data:  1999 to present,,,,,,,,,,,,,,,,,,,,,,,,,,
(Not seasonally adjusted),,,,,,,,,,,,,,,,,,,,,,,,,,
Existing Home Sales Program © 2021,,,,,,,,,,,,,,,,,,,,,,,,,,
National Association of REALTORS ® Research Division,,,,,,,,,,,,,,,,,,,,,,,,,,
"500 New Jersey Avenue, Washington, DC 20001",,,,,,,,,,,,,,,,,,,,,,,,,,
"Existing Home Sales data are provided by NAR solely for use as a reference. No part of the data may be reproduced, stored in a retrieval system, transmitted or",,,,,,,,,,,,,,,,,,,,,,,,,,
"redistributed in any form or by any means, electronic, mechanical, photocopying, recording or otherwise, without NAR's prior written consent. ",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Year over Year % Change,,,,,,,,,,,,,,,,,,,
,U.S.,Northeast,Midwest,South,West,,U.S.,Northeast,Midwest,South,West,,,,,,,,,,,,,,,
2003.01,"192,700","209,000","183,500","158,500","227,800",,15.4%,25.7%,12.0%,12.6%,7.1%,,,,,,,,,,,,,,,
2003.02,"190,800","188,800","182,200","158,500","251,400",,12.6%,12.5%,9.6%,14.0%,12.4%,,,,,,,,,,,,,,,
2003.03,"194,200","193,000","198,400","162,000","243,700",,13.0%,12.7%,18.3%,11.5%,10.0%,,,,,,,,,,,,,,,
2003.04,"197,800","212,200","199,900","160,200","247,100",,14.7%,16.5%,15.2%,18.6%,3.2%,,,,,,,,,,,,,,,
2003.05,"197,300","219,800","190,500","148,300","261,400",,15.4%,15.3%,9.6%,5.8%,22.4%,,,,,,,,,,,,,,,
2003.06,"204,200","228,400","182,800","163,300","263,700",,12.0%,12.8%,2.6%,9.7%,13.8%,,,,,,,,,,,,,,,
2003.07,"197,500","223,300","191,700","163,700","219,400",,16.7%,21.4%,11.1%,16.5%,15.7%,,,,,,,,,,,,,,,
2003.08,"199,300","224,300","194,000","156,600","231,700",,9.5%,13.3%,7.4%,6.2%,10.3%,,,,,,,,,,,,,,,
2003.09,"200,100","228,200","198,700","156,800","228,100",,15.5%,23.6%,14.7%,9.7%,12.3%,,,,,,,,,,,,,,,
2003.10,"199,900","200,200","200,200","164,800","257,900",,12.2%,19.1%,6.4%,15.7%,6.2%,,,,,,,,,,,,,,,
2003.11,"203,500","205,800","190,400","169,500","265,100",,11.6%,14.6%,8.7%,12.2%,12.5%,,,,,,,,,,,,,,,
2003.12,"217,100","232,000","207,500","173,200","269,900",,15.1%,16.8%,9.1%,15.3%,17.9%,,,,,,,,,,,,,,,
2004.01,"220,200","231,600","202,400","188,000","262,900",,14.3%,10.8%,10.3%,18.6%,15.4%,,,,,,,,,,,,,,,
