Inventory and Months Supply of Existing Single-Family Homes,,,,,,,
United States,,,,,,,
"Annual and monthly, 1982 to current",,,,,,,
(Not Seasonally Adjusted),,,,,,,
Existing Home Sales Program © 2021,,,,,,,
National Association of REALTORS ® Research Division,,,,,,,
"500 New Jersey Avenue, Washington, DC 20001",,,,,,,
"Existing Home Sales data are provided by NAR solely for use as a reference. No part of the data may be reproduced, stored in a retrieval system, transmitted or",,,,,,,
"redistributed in any form or by any means, electronic, mechanical, photocopying, recording or otherwise, without NAR's prior written consent. ",,,,,,,
,,,,,,,
,,,,,,,
,Inventory,Months Supply,,,,,
1994.06,"1,620,000",5.4,,,,,
1994.07,"1,670,000",5.8,,,,,
1994.08,"1,750,000",6.0,,,,,
1994.09,"1,560,000",5.5,,,,,
1994.10,"1,590,000",5.6,,,,,
1994.11,"1,510,000",5.4,,,,,
1994.12,"1,380,000",4.8,,,,,
1995.01,"1,480,000",5.3,,,,,
1995.02,"1,550,000",5.6,,,,,
1995.03,"1,600,000",5.8,,,,,
1995.04,"1,670,000",6.4,,,,,
1995.05,"1,670,000",6.0,,,,,
1995.06,"1,650,000",5.7,,,,,
1995.07,"1,700,000",5.7,,,,,
1995.08,"1,770,000",5.7,,,,,
1995.09,"1,730,000",5.5,,,,,
1995.10,"1,740,000",5.6,,,,,
1995.11,"1,740,000",5.6,,,,,
1995.12,"1,580,000",5.1,,,,,
1996.01,"1,720,000",5.6,,,,,
1996.02,"1,820,000",6.0,,,,,
1996.03,"1,910,000",6.0,,,,,
1996.04,"1,900,000",5.8,,,,,
1996.05,"1,950,000",6.0,,,,,
1996.06,"1,890,000",6.0,,,,,
1996.07,"1,950,000",6.1,,,,,
1996.08,"2,090,000",6.6,,,,,
1996.09,"1,980,000",6.4,,,,,
1996.10,"1,990,000",6.4,,,,,
1996.11,"2,000,000",6.3,,,,,
1996.12,"1,730,000",5.5,,,,,
1997.01,"1,870,000",5.8,,,,,
1997.02,"1,950,000",6.0,,,,,
1997.03,"1,930,000",6.1,,,,,
1997.04,"2,120,000",6.7,,,,,
1997.05,"2,180,000",6.7,,,,,
1997.06,"1,980,000",6.2,,,,,
1997.07,"2,230,000",6.9,,,,,
1997.08,"2,030,000",6.0,,,,,
1997.09,"2,050,000",6.0,,,,,
1997.10,"2,070,000",5.9,,,,,
1997.11,"1,900,000",5.5,,,,,
1997.12,"1,690,000",4.8,,,,,
1998.01,"2,230,000",6.4,,,,,
1998.02,"2,160,000",5.9,,,,,
1998.03,"2,130,000",5.7,,,,,
1998.04,"2,070,000",5.6,,,,,
1998.05,"2,100,000",5.6,,,,,
1998.06,"2,140,000",5.8,,,,,
1998.07,"2,110,000",5.6,,,,,
1998.08,"2,060,000",5.5,,,,,
1998.09,"1,980,000",5.3,,,,,
1998.10,"2,010,000",5.3,,,,,
1998.11,"1,970,000",5.1,,,,,
1998.12,"1,710,000",4.3,,,,,
1999.01,"1,870,000",4.8,,,,,
1999.02,"1,820,000",4.8,,,,,
1999.03,"1,880,000",4.9,,,,,
1999.04,"1,980,000",5.2,,,,,
1999.05,"1,980,000",5.1,,,,,
1999.06,"1,950,000",4.8,,,,,
1999.07,"1,850,000",4.7,,,,,
1999.08,"1,890,000",4.8,,,,,
1999.09,"1,800,000",4.7,,,,,
1999.10,"1,870,000",4.9,,,,,
1999.11,"1,700,000",4.5,,,,,
1999.12,"1,550,000",4.1,,,,,
2000.01,"1,660,000",4.3,,,,,
2000.02,"1,680,000",4.4,,,,,
2000.03,"1,550,000",4.0,,,,,
2000.04,"1,810,000",4.7,,,,,
2000.05,"1,750,000",4.6,,,,,
2000.06,"1,870,000",4.9,,,,,
2000.07,"1,780,000",4.7,,,,,
2000.08,"1,840,000",4.8,,,,,
2000.09,"1,760,000",4.5,,,,,
2000.10,"1,740,000",4.5,,,,,
2000.11,"1,660,000",4.2,,,,,
2000.12,"1,660,000",4.4,,,,,
2001.01,"1,590,000",4.2,,,,,
2001.02,"1,710,000",4.4,,,,,
2001.03,"1,770,000",4.4,,,,,
2001.04,"1,890,000",4.8,,,,,
2001.05,"1,790,000",4.6,,,,,
2001.06,"1,930,000",4.8,,,,,
2001.07,"1,800,000",4.5,,,,,
2001.08,"1,980,000",4.9,,,,,
2001.09,"1,930,000",5.0,,,,,
2001.10,"1,740,000",4.5,,,,,
2001.11,"1,900,000",4.9,,,,,
2001.12,"1,660,000",4.1,,,,,
2002.01,"1,870,000",4.3,,,,,
2002.02,"1,910,000",4.4,,,,,
2002.03,"1,910,000",4.6,,,,,
2002.04,"2,080,000",5.0,,,,,
2002.05,"1,950,000",4.7,,,,,
2002.06,"2,030,000",5.0,,,,,
2002.07,"1,870,000",4.7,,,,,
2002.08,"2,010,000",5.1,,,,,
2002.09,"1,990,000",4.9,,,,,
2002.10,"2,050,000",4.9,,,,,
2002.11,"2,070,000",4.9,,,,,
2002.12,"1,890,000",4.3,,,,,
2003.01,"2,040,000",4.6,,,,,
2003.02,"1,980,000",4.5,,,,,
2003.03,"2,020,000",4.7,,,,,
2003.04,"2,230,000",5.2,,,,,
2003.05,"2,100,000",4.8,,,,,
2003.06,"2,230,000",5.1,,,,,
2003.07,"2,120,000",4.6,,,,,
2003.08,"2,210,000",4.6,,,,,
2003.09,"2,080,000",4.3,,,,,
2003.10,"2,160,000",4.6,,,,,
2003.11,"2,240,000",4.9,,,,,
2003.12,"2,040,000",4.3,,,,,
2004.01,"2,020,000",4.4,,,,,
2004.02,"2,110,000",4.5,,,,,
2004.03,"2,150,000",4.4,,,,,
2004.04,"2,120,000",4.3,,,,,
2004.05,"2,160,000",4.3,,,,,
2004.06,"2,130,000",4.2,,,,,
2004.07,"2,200,000",4.4,,,,,
2004.08,"2,200,000",4.5,,,,,
2004.09,"2,060,000",4.2,,,,,
2004.10,"2,160,000",4.3,,,,,
2004.11,"2,190,000",4.3,,,,,
2004.12,"1,970,000",3.9,,,,,
2005.01,"1,870,000",3.6,,,,,
2005.02,"2,030,000",4.0,,,,,
2005.03,"2,030,000",4.0,,,,,
2005.04,"2,170,000",4.2,,,,,
2005.05,"2,230,000",4.3,,,,,
2005.06,"2,350,000",4.5,,,,,
2005.07,"2,350,000",4.5,,,,,
2005.08,"2,460,000",4.7,,,,,
2005.09,"2,390,000",4.5,,,,,
2005.10,"2,480,000",4.8,,,,,
2005.11,"2,500,000",4.9,,,,,
2005.12,"2,390,000",4.8,,,,,
2006.01,"2,480,000",5.1,,,,,
2006.02,"2,560,000",5.1,,,,,
2006.03,"2,700,000",5.4,,,,,
2006.04,"2,930,000",6.0,,,,,
2006.05,"3,040,000",6.3,,,,,
2006.06,"3,220,000",6.8,,,,,
2006.07,"3,310,000",7.2,,,,,
2006.08,"3,290,000",7.1,,,,,
2006.09,"3,230,000",7.0,,,,,
2006.10,"3,290,000",7.1,,,,,
2006.11,"3,230,000",7.0,,,,,
2006.12,"2,920,000",6.2,,,,,
2007.01,"2,720,000",6.5,,,,,
2007.02,"2,840,000",6.7,,,,,
2007.03,"2,870,000",7.2,,,,,
2007.04,"3,200,000",8.3,,,,,
2007.05,"3,330,000",8.7,,,,,
2007.06,"3,330,000",8.9,,,,,
2007.07,"3,400,000",9.2,,,,,
2007.08,"3,320,000",9.3,,,,,
2007.09,"3,290,000",9.9,,,,,
2007.10,"3,360,000",10.3,,,,,
2007.11,"3,180,000",9.7,,,,,
2007.12,"3,010,000",9.3,,,,,
2008.01,"3,060,000",9.9,,,,,
2008.02,"2,880,000",9.5,,,,,
2008.03,"2,930,000",9.5,,,,,
2008.04,"3,290,000",10.8,,,,,
2008.05,"3,190,000",10.4,,,,,
2008.06,"3,300,000",10.9,,,,,
2008.07,"3,200,000",10.4,,,,,
2008.08,"3,020,000",9.7,,,,,
2008.09,"3,040,000",9.6,,,,,
2008.10,"2,960,000",9.8,,,,,
2008.11,"2,970,000",10.5,,,,,
2008.12,"2,630,000",8.8,,,,,
2009.01,"2,640,000",9.2,,,,,
2009.02,"2,730,000",9.2,,,,,
2009.03,"2,590,000",8.9,,,,,
2009.04,"2,820,000",9.6,,,,,
2009.05,"2,710,000",9.1,,,,,
2009.06,"2,710,000",8.9,,,,,
2009.07,"2,790,000",8.6,,,,,
2009.08,"2,810,000",8.5,,,,,
2009.09,"2,630,000",7.7,,,,,
2009.10,"2,530,000",6.8,,,,,
2009.11,"2,550,000",6.3,,,,,
2009.12,"2,330,000",7.2,,,,,
2010.01,"2,390,000",7.8,,,,,
2010.02,"2,540,000",8.1,,,,,
2010.03,"2,620,000",7.9,,,,,
2010.04,"2,940,000",8.2,,,,,
2010.05,"2,810,000",7.8,,,,,
2010.06,"2,860,000",8.7,,,,,
2010.07,"2,870,000",11.3,,,,,
2010.08,"3,010,000",11.1,,,,,
2010.09,"2,890,000",10.1,,,,,
2010.10,"2,810,000",9.9,,,,,
2010.11,"2,740,000",9.2,,,,,
2010.12,"2,590,000",8.2,,,,,
2011.01,"2,540,000",7.8,,,,,
2011.02,"2,580,000",8.5,,,,,
2011.03,"2,590,000",8.3,,,,,
2011.04,"2,760,000",9.0,,,,,
2011.05,"2,710,000",8.9,,,,,
2011.06,"2,780,000",8.9,,,,,
2011.07,"2,670,000",8.6,,,,,
2011.08,"2,640,000",8.1,,,,,
2011.09,"2,490,000",7.8,,,,,
2011.10,"2,390,000",7.4,,,,,
2011.11,"2,330,000",7.1,,,,,
2011.12,"2,030,000",6.3,,,,,
2012.01,"2,080,000",6.3,,,,,
2012.02,"2,080,000",6.1,,,,,
2012.03,"2,020,000",6.0,,,,,
2012.04,"2,180,000",6.4,,,,,
2012.05,"2,180,000",6.4,,,,,
2012.06,"2,100,000",6.3,,,,,
2012.07,"2,080,000",6.2,,,,,
2012.08,"2,130,000",6.1,,,,,
2012.09,"1,890,000",5.5,,,,,
2012.10,"1,860,000",5.3,,,,,
2012.11,"1,770,000",4.9,,,,,
2012.12,"1,610,000",4.5,,,,,
2013.01,"1,580,000",4.3,,,,,
2013.02,"1,650,000",4.5,,,,,
2013.03,"1,690,000",4.5,,,,,
2013.04,"1,910,000",5.1,,,,,
2013.05,"1,910,000",5.0,,,,,
2013.06,"1,930,000",5.1,,,,,
2013.07,"1,960,000",5.1,,,,,
2013.08,"1,970,000",5.1,,,,,
2013.09,"1,920,000",5.1,,,,,
2013.10,"1,860,000",5.0,,,,,
2013.11,"1,830,000",5.1,,,,,
2013.12,"1,640,000",4.6,,,,,
2014.01,"1,670,000",4.8,,,,,
2014.02,"1,650,000",4.7,,,,,
2014.03,"1,700,000",4.9,,,,,
2014.04,"1,960,000",5.6,,,,,
2014.05,"2,000,000",5.6,,,,,
2014.06,"2,050,000",5.7,,,,,
2014.07,"2,070,000",5.7,,,,,
2014.08,"2,070,000",5.6,,,,,
2014.09,"2,020,000",5.5,,,,,
2014.10,"1,980,000",5.3,,,,,
2014.11,"1,850,000",5.1,,,,,
2014.12,"1,640,000",4.4,,,,,
2015.01,"1,670,000",4.6,,,,,
2015.02,"1,660,000",4.4,,,,,
2015.03,"1,750,000",4.5,,,,,
2015.04,"1,960,000",5.1,,,,,
2015.05,"2,030,000",5.2,,,,,
2015.06,"2,000,000",5.1,,,,,
2015.07,"1,990,000",5.0,,,,,
2015.08,"2,010,000",5.1,,,,,
2015.09,"1,940,000",4.9,,,,,
2015.10,"1,870,000",4.8,,,,,
2015.11,"1,810,000",5.2,,,,,
2015.12,"1,550,000",3.9,,,,,
2016.01,"1,620,000",4.0,,,,,
2016.02,"1,640,000",4.2,,,,,
2016.03,"1,720,000",4.4,,,,,
2016.04,"1,870,000",4.6,,,,,
2016.05,"1,890,000",4.7,,,,,
2016.06,"1,880,000",4.7,,,,,
2016.07,"1,860,000",4.7,,,,,
2016.08,"1,780,000",4.5,,,,,
2016.09,"1,790,000",4.4,,,,,
2016.10,"1,780,000",4.3,,,,,
2016.11,"1,630,000",4.0,,,,,
2016.12,"1,450,000",3.6,,,,,
2017.01,"1,510,000",3.6,,,,,
2017.02,"1,520,000",3.8,,,,,
2017.03,"1,580,000",3.8,,,,,
2017.04,"1,700,000",4.1,,,,,
2017.05,"1,740,000",4.2,,,,,
2017.06,"1,720,000",4.2,,,,,
2017.07,"1,690,000",4.2,,,,,
2017.08,"1,650,000",4.2,,,,,
2017.09,"1,640,000",4.1,,,,,
2017.10,"1,600,000",4.0,,,,,
2017.11,"1,470,000",3.5,,,,,
2017.12,"1,290,000",3.1,,,,,
2018.01,"1,360,000",3.4,,,,,
2018.02,"1,400,000",3.4,,,,,
2018.03,"1,440,000",3.5,,,,,
2018.04,"1,580,000",3.9,,,,,
2018.05,"1,660,000",4.1,,,,,
2018.06,"1,720,000",4.3,,,,,
2018.07,"1,700,000",4.3,,,,,
2018.08,"1,690,000",4.3,,,,,
2018.09,"1,660,000",4.3,,,,,
2018.10,"1,630,000",4.3,,,,,
2018.11,"1,530,000",4.0,,,,,
2018.12,"1,340,000",3.6,,,,,
2019.01,"1,410,000",3.9,,,,,
2019.02,"1,440,000",3.6,,,,,
2019.03,"1,470,000",3.8,,,,,
2019.04,"1,610,000",4.1,,,,,
2019.05,"1,690,000",4.2,,,,,
2019.06,"1,700,000",4.3,,,,,
2019.07,"1,670,000",4.2,,,,,
2019.08,"1,610,000",4.0,,,,,
2019.09,"1,600,000",4.0,,,,,
2019.10,"1,560,000",3.9,,,,,
2019.11,"1,450,000",3.7,,,,,
2019.12,"1,210,000",3.0,,,,,
2020.01,"1,240,000",3.1,,,,,
2020.02,"1,290,000",3.0,,,,,
2020.03,"1,310,000",3.3,,,,,
2020.04,"1,290,000",3.9,,,,,
2020.05,"1,360,000",4.5,,,,,
2020.06,"1,340,000",3.7,,,,,
2020.07,"1,300,000",2.9,,,,,
2020.08,"1,270,000",2.9,,,,,
2020.09,"1,230,000",2.6,,,,,
2020.10,"1,200,000",2.4,,,,,
2020.11,"1,080,000",2.2,,,,,
2020.12,"880,000",1.8,,,,,
